Soil,H2O,P,SpID,Ind,Diam,Ht,Lv,Lft,SF,SLA,Lf,Stem,Root,Cot,Sht,Tot
0,0,0,Qr,5,1.6,13,4,,21,22.34042553,0.094,0.113,0.194,,0.207,0.401
0,0,0,Qr,4,1.18,9.5,2,,3.7,16.81818182,0.022,0.052,0.053,,0.074,0.127
0,0,0,Qr,5,1.67,7.5,2,,18.9,17.02702703,0.111,0.062,0.125,,0.173,0.298
1,0,0,Qr,1,1.94,17.5,12,,72,24.48979592,0.294,0.162,0.2,,0.456,0.656
1,0,0,Qr,3,1.81,23,16,,63.4,18.48396501,0.343,0.395,0.188,,0.738,0.926
1,0,0,Qr,3,3.06,17.5,15,,86.1,19.65753425,0.438,0.236,0.326,,0.674,1
1,0,0,Qr,4,1.52,13,9,,27,21.95121951,0.123,0.096,0.089,,0.219,0.308
1,0,0,Qr,1,1.28,10,14,,31.4,23.43283582,0.134,0.074,0.069,0.02,0.208,0.297
1,0,0,Qr,3,1.77,16.5,15,,118.9,23.68525896,0.502,0.142,0.159,,0.644,0.803
1,0,0,Qr,5,1.29,8.5,2,,7.9,25.48387097,0.031,0.05,0.061,0.053,0.081,0.195
0,0,1,Qr,4,1.35,8.5,2,,3.8,34.54545455,0.011,0.051,0.057,,0.062,0.119
0,0,1,Qr,5,1.51,9,0,,16.7,23.85714286,0.07,0.081,0.153,,0.151,0.304
1,0,1,Qr,1,2.32,27,26,,254.1,21.94300518,1.158,0.399,0.431,,1.557,1.988
1,0,1,Qr,2,2.08,20,15,,107.3,22.49475891,0.477,0.199,0.222,,0.676,0.898
1,0,1,Qr,1,1.94,15,12,,62.4,18.62686567,0.335,0.212,0.354,,0.547,0.901
1,0,1,Qr,2,1.91,21,24,,187.3,23.15203956,0.809,0.234,0.326,,1.043,1.369
1,0,1,Qr,3,1.68,11,4,,13,27.65957447,0.047,0.082,0.061,,0.129,0.19
1,0,1,Qr,4,1.9,14,16,,114.5,22.94589178,0.499,0.163,0.167,,0.662,0.829
1,0,1,Qr,1,1.82,15,14,,113.1,23.81052632,0.475,0.135,0.149,,0.61,0.759
1,0,1,Qr,2,1.94,20,16,,187.9,23.51689612,0.799,0.253,0.192,,1.052,1.244
1,0,1,Qr,3,1.96,16,23,,161.2,22.17331499,0.727,0.252,0.387,,0.979,1.366
1,0,1,Qr,4,1.61,16,11,,70.3,23.35548173,0.301,0.107,0.174,,0.408,0.582
1,0,1,Qr,5,1.72,12.5,10,,83.2,26.0815047,0.319,0.131,0.11,,0.45,0.56
0,1,0,Qr,1,1.09,7.5,2,,2.83,94.33333333,0.003,0.04,0.018,,0.043,0.061
0,1,0,Qr,1,1.11,9,5,,17.5,18.61702128,0.094,0.059,0.059,,0.153,0.212
0,1,0,Qr,2,1.49,8.5,1,,2.6,37.14285714,0.007,0.055,0.046,,0.062,0.108
0,1,0,Qr,5,1.58,11,5,,18.6,22.40963855,0.083,0.106,0.147,,0.189,0.336
1,1,0,Qr,1,1.71,11.5,5,,24,22.01834862,0.109,0.064,0.066,,0.173,0.239
