Location,Indonesian_name,Species,Low_Wd,Wd,Hi_Wd,Girth,Cw_Avg,Cw_Depth,Hcb,CP_Idx,CF_idx,Isolated,Dense,Cw_Surf,Cw_Vol,Dbh,Height
Jambi,Karet,Hevbra,560,600,640,85,8.905616206,12.1,3.2,5,4,Yes,open,621.0312229,2009.888354,27.05634033,15.3
Jambi,Karet,Hevbra,560,600,640,31,3.994996871,5.8,1.8,5,4,Yes,open,131.5705187,193.8739658,9.867606472,7.6
Jambi,Karet,Hevbra,560,600,640,109,8.891006692,10.8,2.2,5,5,Yes,open,569.1416105,1788.068875,34.69577759,13
Jambi,Karet,Hevbra,560,600,640,122,10.87749971,10,2,5,5,Yes,open,703.7826138,2478.088285,38.83380611,12
Jambi,Karet,Hevbra,560,600,640,62.4,5.422176685,6.3,2.7,5,4,Yes,open,204.9585762,387.9238609,19.8625369,9
Jambi,Karet,Hevbra,560,600,640,36.1,4.849742261,5.3,3,5,4,Yes,open,157.0079492,261.0789159,11.49098689,8.3
Jambi,Karet,Hevbra,560,600,640,42.7,5.34976635,6.5,2,5,5,Yes,open,206.09408,389.6203209,13.59183214,8.5
Jambi,Karet,Hevbra,560,600,640,58.4,6.899275324,8.8,2.2,5,4,Yes,open,355.3178006,877.3002205,18.58929735,11
Jambi,Karet,Hevbra,560,600,640,83.4,9.19782583,10,3,5,5,Yes,open,562.7202114,1771.858257,26.54704451,13
Jambi,Pulai,Hevbra,313,360,515,54.2,5.959026766,5.8,7.3,3,4,No,low,219.1571825,431.3574265,17.25239583,13.1
Jambi,Pulai,Hevbra,313,360,515,35.4,6.273754857,5.4,2.3,4,2,No,low,224.691881,445.1511126,11.26816997,7.7
Jambi,Pulai,Alssch,313,360,515,49.1,5.224461695,4,5,2,4,No,high,145.4287289,228.6660573,15.62901541,9
Jambi,Pulai,Alssch,313,360,515,23.5,3.16227766,2.3,2.3,2,4,No,high,51.77922665,48.17108736,7.480282325,4.6
Jambi,Pulai,Alssch,313,360,515,23.3,3.398529094,1.7,3.5,1,4,No,high,50.08881945,41.12344784,7.416620348,5.2
Jambi,Pulai,Alssch,313,360,515,90.3,5.244044241,5.4,2.3,5,5,Yes,open,176.2233694,311.0176727,28.74338272,7.7
