"","Date","Species","CO2","Temp","Water","Potnum","Leafnum","LA","LeafFW","TipFW","StemFW","RootFW","LeafDW","StemDW","TipDW","RootDW","LMA"
"188","21/01/2009","Sideroxylon",280,"Elv","Dry",381,140,252.2,7.05,0.8,5.87,10.24,2.8772,2.41,0.1612,1.95,100.32
"190","21/01/2009","Sideroxylon",280,"Elv","Dry",398,160,421.6,9.77,0.98,6.75,11.96,3.4248,2.85,0.3059,2.71,77.56
"192","21/01/2009","Sideroxylon",280,"Elv","Wet",359,341,801.5,19.2,1.24,16.61,32.39,6.5721,6.16,0.3343,7.5,75.98
"194","21/01/2009","Sideroxylon",280,"Elv","Wet",362,146,427.8,10.12,0.99,7.64,18.29,3.3115,2.72,0.1855,2.51,66.85
"196","21/01/2009","Sideroxylon",280,"Elv","Wet",389,168,564.5,13.88,0.48,9.87,22.99,4.1984,4.02,0.1594,4.58,67.32
"198","21/01/2009","Sideroxylon",280,"Elv","Wet",393,109,416.7,10.28,0.59,6.19,19.34,3.2765,2.47,0.1704,3.01,70.79
"200","21/01/2009","Sideroxylon",280,"Elv","Wet",400,261,854.5,20.86,1.23,13.86,29.61,6.0968,5.53,0.3811,4.75,68.11
"202","19/01/2009","Sideroxylon",400,"Elv","Dry ",453,235,626.1,14.15,0.46,9.71,24.59,4.8645,3.59,0.1405,3.99,75.55
"204","19/01/2009","Sideroxylon",400,"Elv","Dry ",461,234,732.7,19.06,0.24,14.03,31.94,6.5867,5.62,0.0836,5.74,85.3
"206","19/01/2009","Sideroxylon",400,"Elv","Dry ",481,223,447.2,10.52,0.67,8.73,17.15,3.5212,3.33,0.2089,2.58,75.58
"208","19/01/2009","Sideroxylon",400,"Elv","Dry ",485,280,742.9,18.3,0.56,14,31.64,6.3567,5.31,0.1911,6.05,82.11
"210","19/01/2009","Sideroxylon",400,"Elv","Dry ",493,150,599.8,13.7,0.52,10.72,27.31,4.3372,3.92,0.152,4.93,71.02
"212","19/01/2009","Sideroxylon",400,"Elv","Wet",451,223,732.7,19.03,1.36,18.53,20.39,6.2582,7.47,0.4449,3.54,80.52
"214","19/01/2009","Sideroxylon",400,"Elv","Wet",457,196,745.4,16.81,0.92,15.08,20.77,5.8431,6.16,0.3026,5.7,74.32
"216","19/01/2009","Sideroxylon",400,"Elv","Wet",463,306,1855.3,27.65,0.85,19.51,44.57,8.6673,7.76,0.2561,8.45,44.09
"218","19/01/2009","Sideroxylon",400,"Elv","Wet",472,277,678.2,15.91,0.72,12.21,18.22,5.4169,5.03,0.2367,3.57,77.71
"220","19/01/2009","Sideroxylon",400,"Elv","Wet",483,364,617.5,23.6,0.58,16.51,39.59,7.0175,6.14,0.1837,5.92,111.58
"222","19/01/2009","Sideroxylon",640,"Elv","Dry",563,290,896.9,22.34,0.6,17.12,47.44,8.0144,6.85,0.2135,8.69,88.53
"224","19/01/2009","Sideroxylon",640,"Elv","Dry",576,237,817.1,20,0.2,17.63,27.52,7.1904,7,0.0651,5.48,85.06
"226","19/01/2009","Sideroxylon",640,"Elv","Dry",577,374,976,24.37,0.32,24.97,40.74,8.3559,9.77,0.3302,7.41,82.27
"228","19/01/2009","Sideroxylon",640,"Elv","Dry",584,335,817.4,26.47,0.89,21.68,39.99,9.048,8.59,0.2615,7.55,104.73
"230","19/01/2009","Sideroxylon",640,"Elv","Dry",591,312,869.3,26.12,1.01,19.34,58.57,9.6476,8.12,0.3213,11.6,107.67
"232","19/01/2009","Sideroxylon",640,"Elv","Wet ",555,327,1088.7,26.39,0.81,28.15,53.89,8.6276,10.62,0.2721,9.5,75.59
"234","19/01/2009","Sideroxylon",640,"Elv","Wet ",562,356,1058.6,27.57,1.54,23.53,82.11,9.3409,8.99,0.5256,16.23,85.21
"236","19/01/2009","Sideroxylon",640,"Elv","Wet ",574,428,1452.6,40.38,1.12,47.21,61.24,14.9569,15.51,0.3828,9.95,102.09
"238","19/01/2009","Sideroxylon",640,"Elv","Wet ",587,283,1001.9,24.67,0.94,19.93,75.72,7.6409,7.03,0.2621,17.1,74.66
"240","19/01/2009","Sideroxylon",640,"Elv","Wet ",595,234,788.7,22.3,1.41,22.56,47.39,7.2003,22.56,0.4285,8.87,85.2
