Nutrition,age,a.lf,a.ss,a.sh,a.st,a.st1,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,m.br,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai,map,mat
0.45 mol K m-2,1,33.83,24.09,0,27.24,24.09,,,6.6,5.5,2.78,3.39,3.989,3.61,,,,0.002,0.002,0.004,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,2,5.24,11.84,0,12.43,11.84,,,8,5.6,0.48,1.53,0.606,0.422,0.164,,,0.002,0.001,0.004,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,11.76,20.12,0,23.27,20.12,,,9.8,9.4,0.84,3.79,1.346,1.105,0.684,,,0.001,0.001,0.003,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,16.17,25.78,0,25.78,25.78,,,10.4,9.7,1.2,4.4,2.756,1.834,0.896,,,0.001,0.001,0.004,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,40.53,84.05,0,100.29,84.05,,,14.1,10.2,4.78,21.04,4.017,5.257,1.862,,,0.002,0.001,0.003,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,35.83,62.39,0,74.03,62.39,,,13,9.4,4.3,15.6,7.441,4.146,1.305,,,0.002,0.001,0.003,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,45.02,72.58,0,84.05,72.58,,,13.2,9.5,4.72,16.39,5.655,3.865,1.517,,,0.002,0.001,0.003,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,44.35,78.46,0,91.99,78.46,,,14.3,13.9,5.01,20.98,6.708,6.642,1.639,,,0.002,0.001,0.004,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,2,45.13,97.48,0,112.5,97.48,,,13.6,11.2,4.59,23.46,7.807,5.26,2.203,,,0.002,0.001,0.003,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.2,1360,20
0.45 mol K m-2,3,2.16,5.84,9.09,19.62,14.94,121,1.15,8.5,3.4,0.25,2.48,2.067,1.103,1.503,,,0.003,0.001,0.003,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
0.45 mol K m-2,3,7.5,9.01,13.18,30.26,22.19,137,1.48,11.9,2.8,0.91,7.29,5.559,0.72,1.569,,,0.003,0.001,0.003,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
0.45 mol K m-2,3,21.41,21.19,35.54,71.14,56.73,96,0.72,16.6,7.3,2.09,17.81,5.4,2.631,0.929,,,0.002,0.002,0.004,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
0.45 mol K m-2,3,29.92,27.24,43.43,91.45,70.67,153,1.83,16.6,8,2.47,26.21,6.918,8.068,2.539,,,0.002,0.001,0.003,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
0.45 mol K m-2,3,28.26,30.89,51.62,103.71,82.51,119,1.12,16.5,6.2,2.85,37.28,7.86,4.366,2.149,,,0.002,0.001,0.003,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
0.45 mol K m-2,3,43.66,36.79,60.14,123.53,96.93,101,0.8,17.9,6.7,4.15,35.04,9.76,5.884,5.409,,,0.002,0.001,0.003,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,5.4,1360,20
