Nutrition,age,a.lf,a.ssbh,a.shbh,a.stbh,,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,,location,latitude,longitude,vegetation,lai,map,mat
0.45 mol K m-2,2,11.76,0.002012,0,0.002327,,,,9.8,0.4,0.84,3.79,1.346,1.105,,,,0.014,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,16.17,0.002578,0,0.002578,,,,10.4,0.7,1.2,4.4,2.756,1.834,,,,0.013475,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,40.53,0.008405,0,0.010029,,,,14.1,3.9,4.78,21.04,4.017,5.257,,,,0.016958159,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,35.83,0.006239,0,0.007403,,,,13,3.6,4.3,15.6,7.441,4.146,,,,0.016665116,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,45.02,0.007258,0,0.008405,,,,13.2,3.7,4.72,16.39,5.655,3.865,,,,0.019076271,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,44.35,0.007846,0,0.009199,,,,14.3,0.4,5.01,20.98,6.708,6.642,,,,0.017704591,0.001,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,2,45.13,0.009748,0,0.01125,,,,13.6,2.4,4.59,23.46,7.807,5.26,,,,0.019664488,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
0.45 mol K m-2,3,2.16,0.000584,0.000909,0.001962,,4.6,,8.5,5.1,0.25,2.48,2.067,1.103,,,,0.02592,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,7.5,0.000901,0.001318,0.003026,,5.9,,11.9,9.1,0.91,7.29,5.559,0.72,,,,0.024725275,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,21.41,0.002119,0.003554,0.007114,,2.9,,16.6,9.3,2.09,17.81,5.4,2.631,,,,0.020488038,0.002,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,29.92,0.002724,0.004343,0.009145,,7.4,,16.6,8.6,2.47,26.21,6.918,8.068,,,,0.024226721,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,28.26,0.003089,0.005162,0.010371,,4.4,,16.5,10.3,2.85,37.28,7.86,4.366,,,,0.019831579,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,43.66,0.003679,0.006014,0.012353,,3.2,,17.9,11.2,4.15,35.04,9.76,5.884,,,,0.021040964,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,51.76,0.004181,0.00713,0.014037,,6.4,,17,9.3,4.9,40.27,11.518,7.232,,,,0.021126531,0.002,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,3,44.66,0.004885,0.008557,0.016402,,4.5,,18.4,10.9,4.89,45.13,12.222,7.104,,,,0.027398773,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.4,1360,20
0.45 mol K m-2,4,6.9,0.002162,0.0018,0.004777,,2.7,,13.6,11.2,0.6,10.17,2.309,0.758,,,,0.023,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,11.77,0.00416,0.003215,0.008931,,3.6,,19.2,14.5,1.42,30.41,4.823,1.56,,,,0.024866197,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,22.67,0.003983,0.00492,0.011191,,4.5,,18.6,12.6,2.67,32.27,5.882,2.666,,,,0.016981273,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,20.04,0.004032,0.005239,0.011795,,5.4,,19.7,15.5,2.51,41.08,9.005,2.624,,,,0.023952191,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
