"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Vanninen-PISY","Vanninen","PISY",NA,13.2,NA,39,18.47,5.1,2.25,3.015210181,NA,3.382563203,57.89486833,30.3248272474079,22.4342953391295,13.5186658874786,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.97607820219958,0.0136847775990371,NA,0.0039
"Vanninen-PISY","Vanninen","PISY",NA,26.6,NA,250,26.73,11.06,3.85,11.78120228,NA,20.71329253,312.1526591,109.989404805944,79.533194846385,85.837133935442,"Pinus sylvestris","L.","Vanninen 2004","Finland","",11.6415642769587,0.0555716324493499,NA,0.025
"Vanninen-PISY","Vanninen","PISY",NA,21.2,NA,164,21.89,9.1,2.7,5.860973074,NA,12.79258416,162.5893394,62.7594346958255,44.7424046008019,34.7350191744155,"Pinus sylvestris","L.","Vanninen 2004","Finland","",5.7255526111674,0.0352989350557349,NA,0.0164
"Vanninen-PISY","Vanninen","PISY",NA,12.5,NA,57,18.35,7.5,2.2,2.394140254,NA,3.97091321,51.96154347,42.1169135820343,29.9967472707262,19.0066355542182,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.80132711084365,0.0122718463030851,NA,0.0057
"Vanninen-PISY","Vanninen","PISY",NA,17.3,NA,111,19,7.77,4.05,7.153403282,NA,11.84028693,97.35770171,84.9892017581618,63.9642246310332,66.731315683156,"Pinus sylvestris","L.","Vanninen 2004","Finland","",12.8824933751266,0.0235061816323222,NA,0.0111
"Vanninen-PISY","Vanninen","PISY",NA,19.3,NA,109,20.8,6.25,3.65,6.7,NA,12.90203991,145.8158159,62.7375610284188,47.7936791187369,43.5977792994271,"Pinus sylvestris","L.","Vanninen 2004","Finland","",10.4634670318625,0.0292552961883916,NA,0.0109
"Vanninen-PISY","Vanninen","PISY",NA,24.2,NA,205,24.85,10.06,4.75,6.157726211,NA,22.11939684,273.6994608,127.322105577309,94.8444514649535,118.845795586832,"Pinus sylvestris","L.","Vanninen 2004","Finland","",17.7205460616549,0.0459960580412082,NA,0.0205
"Vanninen-PISY","Vanninen","PISY",NA,23,NA,222,23.7,10.6,3.45,12.28612128,NA,25.17235362,225.1609369,93.9853092754185,67.5478966529967,66.0606249215228,"Pinus sylvestris","L.","Vanninen 2004","Finland","",9.34820163983813,0.041547562843725,NA,0.0222
"Vanninen-PISY","Vanninen","PISY",NA,8.8,NA,20,15.1,4.89,1.70435475065337,0.796540489,NA,1,20.20605371,21.5301605041275,15.5702299944795,7.43750845436807,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.28144431115586,0.00608212337734984,NA,0.002
"Vanninen-PISY","Vanninen","PISY",NA,8,NA,21,14,4.82,1.66349633226519,0.718,NA,1.000928337,16.580481,20.6970899674151,14.9542414525172,6.98376079814599,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.17336954299148,0.00502654824574367,NA,0.0021
"Vanninen-PISY","Vanninen","PISY",NA,10.9,NA,24,14.6,5.07,1.80941925508009,0.787934437,NA,1.3,24.51839215,23.744347406048,17.2091202264276,8.69130512256776,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.57139204809696,0.00933131557932508,NA,0.0024
"Vanninen-PISY","Vanninen","PISY",NA,10.9,NA,42,14.35,5.9,1.7,1.968694859,NA,2.1,31.03977427,25.5748621880083,18.1875507383396,8.92788272272659,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.26980069221863,0.00933131557932508,NA,0.0042
"Vanninen-PISY","Vanninen","PISY",NA,18.2,NA,145,16.7,7.67,3.75,7.865826247,NA,14.83923839,93.34826732,76.9865178415066,57.5550863481351,56.4750366867978,"Pinus sylvestris","L.","Vanninen 2004","Finland","",11.0446616727766,0.0260155287643771,NA,0.0145
"Vanninen-PISY","Vanninen","PISY",NA,15.3,NA,96,14.8,5.96,2.6,3.023956877,NA,7.087690739,65.26216565,40.898609967403,30.2226569375729,21.0955852293452,"Pinus sylvestris","L.","Vanninen 2004","Finland","",5.30929158456675,0.0183853856069709,NA,0.0096
"Vanninen-PISY","Vanninen","PISY",NA,6.1,NA,9,11.61,3.6,1.15,0.252039649,NA,0.3,7.668540914,10.62587998755,7.62421432612298,2.4928537706235,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.03868907109313,0.0029224665660019,NA,9e-04
"Vanninen-PISY","Vanninen","PISY",NA,18.7,NA,163,16.75,7.9,3.46126674134476,9.381,NA,19.4,96.07373283,72.2045091095822,53.379789975134,49.5559552711019,"Pinus sylvestris","L.","Vanninen 2004","Finland","",9.40935859577887,0.0274645883758454,NA,0.0163
"Vanninen-PISY","Vanninen","PISY",NA,11,NA,48,15.7,6.39,2.57989228754276,2.110924723,NA,3.039920781,35.25690538,43.1526369859614,31.6452356272414,22.2690981241649,"Pinus sylvestris","L.","Vanninen 2004","Finland","",5.22748782257391,0.00950331777710912,NA,0.0048
"Vanninen-PISY","Vanninen","PISY",NA,18.4,NA,157,17.35,9.37,4.05,8.25848818,NA,19,97.92696516,100.053763682931,73.8680241230962,80.4726419499578,"Pinus sylvestris","L.","Vanninen 2004","Finland","",12.8824933751266,0.026590440219984,NA,0.0157
"Vanninen-PISY","Vanninen","PISY",NA,24.9,NA,254,18.45,9.74,4.7,14.715,NA,36.1,167.2607826,122.317753098145,91.3207330227421,112.655732321893,"Pinus sylvestris","L.","Vanninen 2004","Finland","",17.3494454294496,0.0486954715288052,NA,0.0254
"Vanninen-PISY","Vanninen","PISY",NA,16.9,NA,146,15.4,8.2,3.6,7.333,NA,20.7,80.60608108,77.9684366303666,57.6527055459127,55.6438890803824,"Pinus sylvestris","L.","Vanninen 2004","Finland","",10.1787601976309,0.0224317569447945,NA,0.0146
"Vanninen-PISY","Vanninen","PISY",NA,4.6,NA,16.61902514,4.7,3.02,1.3,0.68,NA,0.981552137,1.956981144,10.3464533733911,7.63549328953178,2.6723434308986,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.32732289614169,0.001661902513749,NA,0.001661902514
"Vanninen-PISY","Vanninen","PISY",NA,2.9,NA,6.605198554,3.87,2.29,1.05,0.23,NA,0.279098654,0.738277361,6.3833876445125,4.74086747897931,1.32194291872242,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.865901475145687,0.000660519855417254,NA,0.0006605198554
"Vanninen-PISY","Vanninen","PISY",NA,6.55,NA,27.80505848,6.1,3.77,1.8,1.316,NA,2.382574563,4.712141447,18.1069850231352,13.5036482464843,6.3956543241781,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.54469004940773,0.0033695544705159,NA,0.002780505848
"Vanninen-PISY","Vanninen","PISY",NA,7.45,NA,43.59156156,5.7,4.15,2.05,1.696,NA,2.156755903,5.353250283,22.8030473623847,17.0657604992226,9.13175899597518,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.30063578167778,0.00435915615639669,NA,0.004359156156
"Vanninen-PISY","Vanninen","PISY",NA,1.75,NA,2.405281875,3.32,1.76,0.75,0.065,NA,0.104387032,0.288956293,3.47482536824557,2.56178056111517,0.518362787842316,"Pinus sylvestris","L.","Vanninen 2004","Finland","",0.441786466911065,0.000240528187540469,NA,0.0002405281875
"Vanninen-PISY","Vanninen","PISY",NA,6.75,NA,35.78470382,5.69,4.06,2.15,2.433,NA,3.028731087,4.325311576,23.6305530551645,17.8144822498188,9.82656148122473,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.6305030103047,0.00357847038197962,NA,0.003578470382
