"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Brown-ABGR","Brown","ABGR",37,10.922,NA,NA,9.38784,6.67512,2.40792,4.676616,NA,5.3461296,NA,41.6391971577157,30.2088401923117,20.2647760081509,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",4.55380038294838,0.00936902128851274,NA,NA
"Brown-ABGR","Brown","ABGR",74,15.494,NA,NA,9.50976,7.19328,3.6576,12.487608,NA,17.704008,NA,70.8039980590378,53.1496932235899,50.3869424289516,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",10.5070862865657,0.0188545852972179,NA,NA
"Brown-ABGR","Brown","ABGR",115,25.4,NA,NA,19.75104,16.64208,4.2672,14.655816,NA,26.8798824,NA,179.959790469517,126.764558982838,158.669051052751,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",14.3013118900478,0.0506707479097498,NA,NA
"Brown-ABGR","Brown","ABGR",117,21.082,NA,NA,13.13688,9.17448,5.1816,19.994688,NA,36.0734472,NA,130.003084330956,98.6807331064239,128.975686645247,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",21.0871384501215,0.0349070782350266,NA,NA
"Brown-ABGR","Brown","ABGR",98,21.336,NA,NA,16.97736,11.33856,3.10896,13.031928,NA,24.113376,NA,89.6351130021406,63.4816682577701,57.3834682908022,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",7.59136984204373,0.0357532797251194,NA,NA
"Brown-ABGR","Brown","ABGR",105,23.368,NA,NA,18.19656,15.91056,4.60248,24.4944,NA,52.014312,NA,186.762596864071,132.860200400055,176.468790017761,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",16.6369496124989,0.0428877210308122,NA,NA
"Brown-ABGR","Brown","ABGR",90,29.972,NA,NA,22.06752,18.40992,4.90728,14.274792,NA,37.045512,NA,229.379081908372,162.078189043359,232.130496868914,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",18.9134849745882,0.0705539493895356,NA,NA
"Brown-ABLA","Brown","ABLA",4,0,NA,NA,1.24968,1.24968,0.762,0.31198608,NA,0.1880172,NA,2.63897392652772,2.01981055468729,0.379933321487137,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",0.456036731187748,0,NA,NA
"Brown-ABLA","Brown","ABLA",118,31.242,NA,NA,28.22448,15.66672,2.52984,24.984288,NA,32.6605608,NA,98.9157038499855,67.4866173766926,52.5004243897206,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",5.02661926584383,0.0766597745126604,NA,NA
"Brown-ABLA","Brown","ABLA",73,32.258,NA,NA,16.6116,12.954,3.87096,41.291208,NA,78.468264,NA,128.140714923069,91.4096664024529,101.634202164412,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",11.7686662997235,0.0817268493036354,NA,NA
"Brown-ABLA","Brown","ABLA",13,3.302,NA,NA,3.01752,2.86512,1.49352,1.4859936,NA,1.07598456,NA,11.5570393850067,8.69808380285296,3.34628960233045,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",1.75191070653085,0.000856335639674771,NA,NA
"Brown-ABLA","Brown","ABLA",13,5.08,NA,NA,3.53568,3.53568,1.70688,3.0168936,NA,2.8581336,NA,16.1262626728176,12.0401903984392,5.39358532516311,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",2.28820990240764,0.00202682991638999,NA,NA
"Brown-ABLA","Brown","ABLA",35,5.334,NA,NA,3.2004,2.8956,1.46304,3.1720248,NA,2.7070848,NA,11.3904584591341,8.54469127767151,3.24526069881383,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",1.68113380585051,0.00223457998281997,NA,NA
"Brown-ABLA","Brown","ABLA",14,0,NA,NA,0.9144,0.9144,0.39624,0.08999424,NA,0.03302208,NA,0.955557647121753,0.705651803279996,0.0751711976561866,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",0.123312332113167,0,NA,NA
"Brown-ABLA","Brown","ABLA",18,0,NA,NA,1.34112,1.34112,0.85344,0.3690036,NA,0.20901888,NA,3.1975040553432,2.45874632599764,0.511460677386157,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",0.572052475601911,0,NA,NA
"Brown-ABLA","Brown","ABLA",14,0,NA,NA,0.762,0.6096,0.79248,0.16302384,NA,0.0610092,NA,1.67753202137543,1.39831331360718,0.200456527083164,"Abies lasiocarpa","(Hook.) Nutt.","Brown 1978","USA","",0.493249328452668,0,NA,NA
