Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Ocotea attirhensis,,0.98,1,0.64,0.71,0.38,
Ocotea attirhensis,,1.64,1.34,0.86,1.48,1.2,
Ocotea attirhensis,,4.18,1.92,1.35,2.75,1.2,
Ocotea attirhensis,,3.35,3.3,1.28,2.2,0.53,
Ocotea attirhensis,,3.42,2.68,1.95,2.78,1.9,
Ocotea attirhensis,,3.65,2.58,2.13,2.55,0.8,
Ocotea attirhensis,,5,3.02,1.69,4.5,3.85,
Ocotea attirhensis,,3.25,2.86,1.54,2.38,1.2,
Ocotea attirhensis,,5.2,3.22,1.95,4.65,2.2,
Ocotea dendrodaphne,1,2.57,1.32,0.96,2.2,1.13,
Ocotea dendrodaphne,2,4.65,2,1.26,4.2,3.02,
Ocotea dendrodaphne,3,4.95,2.49,1.25,3.85,1.67,
Ocotea dendrodaphne,4,4.1,2.23,0.85,3.55,3,
Ocotea dendrodaphne,5,3.93,2.22,1.23,3.05,1.27,
Ocotea dendrodaphne,6,2.36,1.39,0.72,2.01,1.65,
Ocotea dendrodaphne,7,2.66,1.56,0.92,2.18,1.74,
Ocotea dendrodaphne,8,4.45,1.92,0.79,4.12,3.8,
Ocotea dendrodaphne,9,6,2.97,1.68,5,3.3,
Ocotea dendrodaphne,10,3.96,2,1.13,3.4,2.8,
Ocotea dendrodaphne,11,1.16,0.815,0.58,0.9,0.57,
Ocotea dendrodaphne,12,2.03,1.26,0.9,1.45,0.8,
Ocotea dendrodaphne,13,4.2,1.71,0.75,3.5,2.7,
Ocotea dendrodaphne,14,3.25,1.48,0.7,2.6,1.55,
Ocotea dendrodaphne,15,1.33,0.695,0.41,1.21,0.98,
Ocotea dendrodaphne,16,4.9,2.38,1.46,3.25,0.85,
Ocotea hartshorniana,1,9.2,8.65,4.7,7.7,4.5,
Ocotea hartshorniana,2,10.8,8.49,5.05,9.2,6,
Ocotea hartshorniana,3,11.5,9.54,4.2,10,8.8,
Ocotea hartshorniana,4,33,36.9,11.9,24,17.6,
Ocotea hartshorniana,5,1.64,1.14,0.9,1.3,0.57,
Ocotea hartshorniana,6,3.96,3.1,2.05,3.25,2.61,
Ocotea hartshorniana,7,10.3,7.84,4.15,9.8,9.25,
Ocotea hartshorniana,8,1.48,1.15,0.97,1.39,0.97,
Ocotea hartshorniana,9,32.5,48.3,9.8,28.5,23,
Ocotea hartshorniana,10,34,59.9,11.43,31,27,
Ocotea hartshorniana,11,3.35,1.92,1.64,2.3,0.77,
Ocotea hartshorniana,12,27.5,34.1,9.1,23.5,17,
Ocotea hartshorniana,13,6.65,4.44,3.7,5,3.15,
