species,family,Time ,light level,SLA (cm2 g-1),Leaf biomass (g),Stem biomass (g),Root biomass (g),Initial height (cm),Final height (cm),leafbiomass_fixed,leafmassproblem
Symplococarpon purpusii,Theaceae,1,c,205.45,0.945,0.017,0.019,4.5,7,0.03,y
Symplococarpon purpusii,Theaceae,1,c,197.44,0.945,0.015,0.038,5,6.5,0.031,y
Symplococarpon purpusii,Theaceae,1,c,216.53,0.944,0.023,0.01,5,5.4,0.019,y
Symplococarpon purpusii,Theaceae,1,c,239.44,0.945,0.011,0.034,5.5,5.8,0.945,
Symplococarpon purpusii,Theaceae,1,c,201.29,0.945,0.022,0.026,7,7.5,0.034,y
Symplococarpon purpusii,Theaceae,1,c,135.4,0.947,0.024,0.017,6,8.5,0.947,
Symplococarpon purpusii,Theaceae,1,c,629.04,0.944,0.015,0.041,4.5,6.6,0.056,y
Symplococarpon purpusii,Theaceae,2,c,271.94,0.013,0.02,0.007,7,3.5,0.013,
Symplococarpon purpusii,Theaceae,2,c,216.72,0.025,0.011,0.335,5,4.5,0.025,
Symplococarpon purpusii,Theaceae,2,c,117.41,0.046,0.03,0.037,5.5,4.5,0.046,
Symplococarpon purpusii,Theaceae,2,c,55.57,0.055,0.041,0.025,5.5,5.8,0.055,
Symplococarpon purpusii,Theaceae,2,c,250.7,0.041,0.025,0.024,3.5,5.1,0.041,
Symplococarpon purpusii,Theaceae,2,c,185.9,0.044,0.019,0.054,3.5,4.7,0.044,
Symplococarpon purpusii,Theaceae,2,c,166.61,0.095,0.024,0.031,5,6.4,0.095,
Symplococarpon purpusii,Theaceae,2,c,171.48,0.066,0.041,0.021,5,6.7,0.066,
Symplococarpon purpusii,Theaceae,2,c,182.71,0.028,0.009,0.046,5,6.4,0.028,
Symplococarpon purpusii,Theaceae,2,c,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,3,c,239.91,0.07,0.033,0.063,4.5,7,0.07,
Symplococarpon purpusii,Theaceae,3,c,197.79,0.057,0.042,0.044,4,6,0.057,
Symplococarpon purpusii,Theaceae,3,c,224.84,0.073,0.041,0.023,4,7,0.073,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,5.1,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,3,c,0,0,0,0,4.6,0,0,
Symplococarpon purpusii,Theaceae,4,c,168.34,0.942,0.015,0.024,4.5,5.5,0.942,
Symplococarpon purpusii,Theaceae,4,c,214.35,0.39,0.125,0.486,4,11,0.39,
Symplococarpon purpusii,Theaceae,4,c,202.46,0.96,0.051,0.076,4.5,10.8,0.96,
Symplococarpon purpusii,Theaceae,4,c,226.24,0.957,0.054,0.068,4.5,9.5,0.957,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,c,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,c,258.05,0.721,0.124,0.156,4.5,6,0.721,
Symplococarpon purpusii,Theaceae,5,c,273.94,0.961,0.06,0.129,4,12,0.961,
Symplococarpon purpusii,Theaceae,5,c,243.07,0.991,0.187,0.182,5.5,21.2,0.991,
Symplococarpon purpusii,Theaceae,5,c,263.24,0.971,0.095,0.096,5.5,17.2,0.971,
Symplococarpon purpusii,Theaceae,5,c,255.06,0.949,0.038,0.054,7,8.5,0.949,
Symplococarpon purpusii,Theaceae,5,c,0,0,0,0,5.4,0,0,
Symplococarpon purpusii,Theaceae,5,c,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,5,c,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,c,0,0,0,0,4.8,0,0,
Symplococarpon purpusii,Theaceae,5,c,0,0,0,0,6.2,0,0,
Symplococarpon purpusii,Theaceae,1,d,190.31,0.947,0.031,0.018,7,9.6,0.947,
Symplococarpon purpusii,Theaceae,1,d,181.64,0.951,0.051,0.027,6,7.2,0.951,
Symplococarpon purpusii,Theaceae,1,d,134.43,0.95,0.025,0.029,4.5,8.7,0.95,
Symplococarpon purpusii,Theaceae,1,d,136.01,0.944,0.036,0.032,6.7,8.5,0.085,y
Symplococarpon purpusii,Theaceae,1,d,209.22,0.947,0.02,0.018,5,5.5,0.947,
Symplococarpon purpusii,Theaceae,1,d,159.91,0.943,0.012,0.013,4.5,4.9,0.07,y
Symplococarpon purpusii,Theaceae,1,d,150.43,0.943,0.017,0.02,5,5.5,0.943,
Symplococarpon purpusii,Theaceae,1,d,110.6,0.946,0.031,0.022,5.5,7.6,0.946,
Symplococarpon purpusii,Theaceae,1,d,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,1,d,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,2,d,163.22,0.344,0.04,0.054,5,7,0.344,
Symplococarpon purpusii,Theaceae,2,d,173.71,0.485,0.047,0.032,7.5,9.5,0.485,
Symplococarpon purpusii,Theaceae,2,d,96.59,0.135,0.019,0.025,7,8,0.135,
Symplococarpon purpusii,Theaceae,2,d,144.82,0.323,0.056,0.039,7,7.2,0.323,
Symplococarpon purpusii,Theaceae,2,d,153.74,0.132,0.026,0.025,2.5,4.5,0.132,
Symplococarpon purpusii,Theaceae,2,d,143.63,0.803,0.026,0.015,6,7,0.803,
Symplococarpon purpusii,Theaceae,2,d,0,0,0.022,0.022,5.6,7,0,
Symplococarpon purpusii,Theaceae,2,d,0,0,0.04,0.029,6,7,0,
Symplococarpon purpusii,Theaceae,2,d,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,2,d,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,3,d,209.16,0.125,0.033,0.83,6,9,0.125,
Symplococarpon purpusii,Theaceae,3,d,179.64,0.712,0.024,0.018,4.5,5.1,0.712,
Symplococarpon purpusii,Theaceae,3,d,150.12,0.627,0.017,0.032,4.2,4,0.627,
Symplococarpon purpusii,Theaceae,3,d,175.28,0.523,0.056,0.054,6.5,9.3,0.523,
Symplococarpon purpusii,Theaceae,3,d,180.78,0.524,0.016,0.016,4.5,6.3,0.524,
Symplococarpon purpusii,Theaceae,3,d,203.99,0.944,0.047,0.059,6.5,9,0.053,y
Symplococarpon purpusii,Theaceae,3,d,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,3,d,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,3,d,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,3,d,0,0,0,0,8,0,0,
Symplococarpon purpusii,Theaceae,4,d,457.64,0.951,0.031,0.029,3,3.5,0.951,
Symplococarpon purpusii,Theaceae,4,d,160.65,0.954,0.114,0.163,5,13,0.954,
Symplococarpon purpusii,Theaceae,4,d,183.04,0.954,0.12,0.097,5.5,12.5,0.954,
Symplococarpon purpusii,Theaceae,4,d,170.64,0.953,0.017,0.088,4,9,0.953,
Symplococarpon purpusii,Theaceae,4,d,0,0,0.066,0.073,6,9,0,
Symplococarpon purpusii,Theaceae,4,d,0,0,0.06,0.111,6.6,18.5,0,
Symplococarpon purpusii,Theaceae,4,d,0,0,0.041,0.064,5,6.5,0,
Symplococarpon purpusii,Theaceae,4,d,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,4,d,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,4,d,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,5,d,229.42,0.953,0.041,0.064,5.5,10,0.953,
Symplococarpon purpusii,Theaceae,5,d,244.54,0.941,0.058,0.083,5.5,8.5,0.1239,y
Symplococarpon purpusii,Theaceae,5,d,228.22,0.623,0.099,0.117,6,13,0.623,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,4.8,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,5,d,0,0,0,0,5,0,0,
