spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,5.3,12.77588843,NA,8.7,3.8,0.67,0.13794,1.025149506,NA,NA,6.366998481,good,S,4.36732331,0.893165263,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.352565236,0.002206183,0.001277589,NA
Reid-PICO,Reid,PICO,NA,5.3,11.05675208,NA,6.9,1.5,0.53,0.039557,0.274589066,NA,NA,2.056001564,good,S,1.488739645,0.220618344,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.220618344,0.002206183,0.001105675,NA
Reid-PICO,Reid,PICO,NA,4.5,2.99741336,NA,5.7,1.6,0.54,0.0932,0.743221652,NA,NA,2.226418813,good,S,1.605378227,0.244290245,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.229022104,0.001590431,0.000299741,NA
Reid-PICO,Reid,PICO,NA,5.4,13.0709416,NA,7.8,3.2,0.58,0.2419,1.942625853,NA,NA,4.644738026,good,S,3.191553366,0.56364361,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.264207942,0.002290221,0.001307094,NA
Reid-PICO,Reid,PICO,NA,8.4,34.87,NA,9,3.9,1.5,0.93836,5.977349,NA,NA,15.24133152,poor,C,11.12467966,4.594579256,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.767145868,0.005541769,0.003487,NA
Reid-PICO,Reid,PICO,NA,4.4,10.79510386,NA,4.3,2,0.749858886,0.272816,1.70864,NA,NA,3.898214128,poor,C,2.838408085,0.588826982,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.441620236,0.001520531,0.00107951,NA
Reid-PICO,Reid,PICO,NA,4.4,11.32836444,NA,5.4,2.6,0.6,0.755874,4.64569776,NA,NA,3.934949177,poor,C,2.749443789,0.490088454,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.282743339,0.001520531,0.001132836,NA
Reid-PICO,Reid,PICO,NA,3.9,9.04256256,NA,4,1.6,0.23,0.319272,2.079573,NA,NA,0.916369085,poor,C,0.621091803,0.0443174,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.041547563,0.001194591,0.000904256,NA
Reid-PICO,Reid,PICO,NA,6.9,28,NA,6.3,2.8,1.06,0.67816,5.5188128,NA,NA,7.721442344,poor,C,5.627381676,1.647283636,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.882473376,0.003739281,0.0028,NA
Reid-PICO,Reid,PICO,NA,5.1,15.67652779,NA,5.6,2.7,0.846417055,1.074257,7.64020264,NA,NA,5.858083909,poor,C,4.196288619,1.012817503,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.562676391,0.002042821,0.001567653,NA
Reid-PICO,Reid,PICO,NA,4.7,10.3558216,NA,6.4,2.1,0.8,0.668157,3.85467296,NA,NA,4.37312922,poor,C,3.189038032,0.703716754,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.502654825,0.001734945,0.001035582,NA
Reid-PICO,Reid,PICO,NA,5.4,16.59867648,NA,6.7,2.7,0.64,0.940115,5.70139892,NA,NA,4.363507235,poor,C,3.055032311,0.579058358,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.321699088,0.002290221,0.001659868,NA
Reid-PICO,Reid,PICO,NA,5,17.4749472,NA,6,2.7,0.87,1.008641,7.59744888,NA,NA,6.032671189,poor,C,4.331849347,1.070042166,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.59446787,0.001963495,0.001747495,NA
Reid-PICO,Reid,PICO,NA,6.3,20.83,NA,6.4,3.3,0.9,0.674751,4.51550836,NA,NA,7.549826456,poor,C,5.344613213,1.399579527,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.636172512,0.003117245,0.002083,NA
Reid-PICO,Reid,PICO,NA,3.4,6.58579328,NA,4,1.3,0.64,0.179154,1.20039512,NA,NA,2.229025838,poor,C,1.667613113,0.278805876,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.321699088,0.00090792,0.000658579,NA
Reid-PICO,Reid,PICO,NA,3.7,8.950806471,NA,3.4,1.9,1.05,0.30903,2.41689016,NA,NA,5.436516393,poor,C,4.117071023,1.096808535,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.865901475,0.00107521,0.000895081,NA
Reid-PICO,Reid,PICO,NA,5.9,22.83464967,NA,5.4,2.8,0.95,0.279338,2.11395584,NA,NA,6.857232638,poor,C,4.9468369,1.323134106,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.708821842,0.002733971,0.002283465,NA
Reid-PICO,Reid,PICO,NA,5.1,14.54448704,NA,6.1,2.1,0.846417055,0.449501,2.78223704,NA,NA,4.651948118,poor,C,3.410862091,0.787746947,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.562676391,0.002042821,0.001454449,NA
Reid-PICO,Reid,PICO,NA,4.5,11.90994034,NA,4.5,1.6,0.8,0.21474,1.51945532,NA,NA,3.436549652,poor,C,2.57515376,0.536165146,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.502654825,0.001590431,0.001190994,NA
Reid-PICO,Reid,PICO,NA,11.1,56.94,NA,10.2,5.1,1.7,2.267611,15.46686652,NA,NA,22.32071557,poor,D,16.07645929,7.717322354,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.269800692,0.009676891,0.005694,NA
