Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Saligna,280,Elv,wet,445,22.50,20.29,12.01,0.28,39.47,5716,550,10.3,11.11,11.4,1.54,2.27,124,72,,33,39,0,,,
Saligna,280,Elv,wet,447,24.29,28.18,14.61,0.27,28.96,8382,115,12.3,11.16,12,1.33,3.6,143,108,,36,72,0,,,
Saligna,280,Elv,wet,448,16.92,23.22,19.68,0.48,33.42,5053,594,8.3,10.88,11.38,1.55,1.82,142,53,,37,16,0,,,
Saligna,280,Elv,wet,449,23.77,20.64,15.78,0.35,29.55,8057,1192,13.1,10.57,10.54,1.36,2.07,106,161,,37,124,0,,,
Saligna,280,Elv,wet,459,19.35,19.66,16.76,0.42,31.73,6101,835,10.7,11.11,11.49,1.53,2.39,135,111,,37,74,0,,,
Saligna,280,Elv,wet,460,19.97,24.01,19.85,0.45,27.06,7381,570,11.5,9.95,8.68,1.81,2.66,153,89,,43,46,0,,,
Saligna,280,Elv,wet,468,23.88,33.52,14.98,0.26,30.28,7880,797,10.8,10.16,11.25,1.89,3.05,155,103,,35,68,0,,,
Saligna,280,Elv,wet,471,14.12,17.79,11.80,0.36,30.43,4641,590,10.5,8.03,8.41,1.66,2.6,132,60,,39,21,0,,,
Saligna,280,Elv,wet,477,18.24,20.52,13.61,0.34,28.71,6355,863,12.0,11.13,9.12,1.53,2.75,130,121,,39,82,0,,,
Saligna,400,Elv,wet,360,31.15,34.14,26.07,0.38,44.87,6953,674,7.4,12.25,12.22,2.03,1.68,134,96,,37,59,0,,,
Saligna,400,Elv,wet,361,25.78,25.51,32.91,0.63,41.75,6184,563,7.2,10.99,11.09,1.99,2.72,127,93,,33,60,0,,,
Saligna,400,Elv,wet,364,26.38,30.23,45.32,0.79,32.89,8021,784,7.8,10.71,10.62,1.33,2.12,142,91,,27,64,0,,,
Saligna,400,Elv,wet,371,26.70,31.20,27.19,0.46,40.68,6563,787,7.6,11.37,11.68,1.9,3.18,138,98,,34,64,0,,,
Saligna,400,Elv,wet,373,30.08,40.40,29.49,0.41,32.66,9211,1223,9.1,13.25,14.21,1.53,2.51,169,156,,49,107,0,,,
Saligna,400,Elv,wet,375,34.88,31.00,45.28,0.68,45.98,7598,624,6.8,10.77,10.91,2.15,3,127,44,,30,14,0,,,
Saligna,400,Elv,wet,378,24.40,25.93,16.70,0.32,44.67,5462,505,8.0,9.84,10.35,1.38,1.27,147,62,,34,28,0,,,
Saligna,400,Elv,wet,380,37.32,35.75,31.46,0.42,39.39,9462,1027,8.9,11.83,12.02,1.81,3,151,123,,39,84,0,,,
Saligna,400,Elv,wet,392,25.10,30.91,12.29,0.21,40.67,6172,850,8.9,13.03,13.14,2.37,1.97,148,74,,40,34,0,,,
Saligna,640,Elv,wet,514,36.70,38.03,22.37,0.29,42.89,8564,1535,8.6,13,13.02,1.65,2.87,140,210,,47,162,1,,,
Saligna,640,Elv,wet,521,32.61,29.34,35.44,0.56,51.18,6373,685,6.5,13.78,13.69,1.67,3.28,115,91,,35,56,0,,,
Saligna,640,Elv,wet,528,35.57,39.28,41.06,0.54,42.55,8356,935,7.1,13.14,13.99,1.45,2.5,160,117,,50,67,0,,,
Saligna,640,Elv,wet,529,32.71,40.41,39.30,0.53,51.51,6343,807,5.6,13.55,11.98,1.12,3.35,163,91,,47,44,0,,,
Saligna,640,Elv,wet,547,31.97,40.36,49.51,0.66,39.29,8132,1269,6.6,14.42,14.53,1.61,3.08,148,163,,38,125,0,,,
Saligna,640,Elv,wet,585,39.64,41.86,30.13,0.37,46.88,8451,331,7.5,13.78,13.13,1.78,2.87,170,36,,34,2,0,,,
Saligna,640,Elv,wet,588,35.29,40.22,34.89,0.45,46.63,7568,1000,6.8,12.59,12.54,2.59,1.9,162,148,,38,110,0,,,
Saligna,640,Elv,wet,589,45.09,45.43,26.91,0.29,47.61,9470,1209,8.0,14.97,13.34,1.6,3.18,159,172,,43,129,0,,,
Saligna,640,Elv,wet,591,36.22,39.21,38.89,0.50,47.46,7632,676,6.5,13.66,12.78,2.94,1.65,156,106,,40,66,0,,,
Sideroxylon,280,Amb,dry,103,7.74,6.79,7.03,0.47,71.12,1085,479,5.0,5.4,4.68,0.79,0.72,76,42,1,29,13,0,,,
Sideroxylon,280,Amb,dry,109,5.04,5.15,6.31,0.61,62.30,802,237,4.8,6.1,7.21,0.67,0.83,66,29,1,28,1,0,,,
