SPEC,species,family,pft,growth period,age,growingCondition,light,plant #,harvest #,m.rt,m.st,m.so,m.to,m.lf,m.br,m.to2,a.lf,ma.ilf,a.ilf,c.d,h.t,d.ba,d.cr,d.cr2,a.cp,r.st
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,6,11,2,0.35,1.096,2.858,3.203,1.76,,3.2,0.0716,0.025,119.3,10,36,0.47,37,38,0.1104,0.18
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,1,2,1.53,2.366,6.325,7.857,3.96,,7.86,0.1155,,128.4,19,28,0.65,33,56,0.1555,0.25
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,2,2,1.69,3.922,8.071,9.76,4.15,,9.76,0.1063,0.039,212.5,18,45,0.86,55,41,0.181,0.15
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,3,2,0.35,0.792,2.57,2.92,1.78,,2.92,0.0616,0.029,68.5,8,15,0.43,36,28,0.0804,0.36
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,4,2,1.89,2.764,6.161,8.051,3.4,,8.05,0.0816,0.042,136,15.5,30,0.74,37,35,0.1018,0.21
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,5,2,1.1,2.338,4.995,6.099,2.66,,6.1,0.0796,0.033,132.6,27,38.5,0.63,42,37,0.1225,0.19
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,6,2,3.27,6.065,10.67,13.94,4.61,,13.94,0.1374,0.034,229,25,54,0.89,,,,0.18
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,7,2,1.19,2.458,5.375,6.566,2.92,,6.57,0.075,0.039,125,19,33,0.6,27,27,0.0573,0.26
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,8,2,1.53,2.068,4.309,5.839,2.24,,5.84,0.0723,0.031,103.2,19.5,28,0.57,40,32,0.1018,0.29
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,12,9,2,1.07,1.547,4.45,5.517,2.9,,5.52,0.0911,0.032,151.8,25.5,34,0.58,47,42,0.1555,0.17
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,1,2,2.74,4.164,7.535,10.275,3.37,,10.28,0.0629,0.054,89.9,24,48,0.75,32,30,0.0755,0.2
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,2,2,1.46,1.928,4.41,5.87,2.48,,5.87,0.0573,0.043,71.6,20,34.5,0.53,37,32,0.0935,0.25
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,3,2,2.93,5.27,9.692,12.624,4.42,,12.62,0.0931,0.048,155.1,16,37,0.88,43,32,0.1104,0.23
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,4,2,3.22,4.238,8.76,11.982,4.52,,11.98,0.1042,0.043,173.7,18,32,0.86,38,33,0.099,0.23
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,5,2,4.47,5.5,8.987,13.461,3.49,,13.46,0.088,0.04,125.7,21,47,0.94,47,34,0.1288,0.17
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,6,2,5.29,5.68,10.855,16.14,5.18,,16.14,0.1117,,139.6,17,35.5,0.94,33,34,0.0881,0.23
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,7,2,2.48,2.578,4.821,7.303,2.24,,7.3,0.0522,0.043,87,16,34,0.7,33,24,0.0638,0.2
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,8,2,4.03,5.275,9.684,13.714,4.41,,13.71,0.1095,0.04,156.4,23.5,44.5,0.86,50,52,0.2043,0.2
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,9,2,4.54,5.36,10.409,14.953,5.05,,14.95,0.0929,0.054,154.8,23,44,1,51,37,0.1521,0.16
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,25,10,2,4.15,5.1,9.358,13.504,4.26,,13.5,0.0711,0.06,88.9,18,41.5,0.93,42,36,0.1195,0.18
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,1,2,4.89,3.78,8.44,13.332,4.66,,13.33,0.0753,,107.5,12.5,19.5,0.87,32,35,0.0881,0.33
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,2,2,6.28,5.82,11.996,18.276,6.18,,18.28,0.1003,0.062,143.3,9.5,36,0.91,33,31,0.0804,0.25
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,3,2,6.34,7.24,11.906,18.241,4.67,,18.24,0.0642,0.073,91.7,14.5,35.5,0.95,25,22,0.0434,0.29
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,4,2,3.58,3.16,6.798,10.378,3.64,,10.38,0.0544,0.067,90.7,9,18.5,0.76,36,35,0.099,0.38
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,5,2,2.29,2.016,5.326,7.62,3.31,,7.62,0.0663,0.05,110.5,8,17,0.7,29,20,0.0471,0.31
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,6,2,3.62,3.87,8.773,12.395,4.9,,12.4,0.0788,0.062,98.5,16,27.5,0.81,39,32,0.099,0.27
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,7,2,3.69,2.694,6.419,10.113,3.73,,10.11,0.0611,0.061,101.9,11.5,18,0.75,36,28,0.0804,0.34
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,8,2,4.06,2.718,5.441,9.505,2.72,,9.5,0.047,0.058,58.8,18,30,0.67,34,28,0.0755,0.26
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,9,2,4.34,3.066,7.386,11.722,4.32,,11.72,0.0653,0.066,93.3,11,19,0.8,28,19,0.0434,0.32
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,10,2,5.26,4.72,8.829,14.089,4.11,,14.09,0.0718,0.057,102.6,16.5,28,0.97,39,34,0.1046,0.23
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,50,11,2,7.38,6.375,11.604,18.984,5.23,,18.98,0.0742,0.07,123.7,17,32,0.9,34,29,0.0779,0.31
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,1,2,3.87,3.572,7.678,11.552,4.11,,11.55,0.0597,0.069,74.6,15,26.5,0.74,26,22,0.0452,0.31
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,2,2,2.75,2.022,4.975,7.721,2.95,,7.72,0.0358,0.082,59.7,8,20,0.6,20,21,0.033,0.36
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,3,2,2.47,1.475,4.483,6.953,3.01,,6.95,0.0393,0.077,65.4,7,14,0.6,16,21,0.0269,0.37
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,5,2,2.04,1.208,3.185,5.223,1.98,,5.22,0.0314,0.063,52.4,7.5,13.5,0.53,28,20,0.0452,0.41
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,6,2,3.52,2.118,5.706,9.226,3.59,,9.23,0.0373,0.096,62.1,10,17,0.62,22,17,0.0299,0.41
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,7,2,2.21,1.273,4.142,6.35,2.87,,6.35,0.0357,0.08,51.1,7.5,11.5,0.6,24,20,0.038,0.39
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,8,2,3.45,3.468,7.627,11.073,4.16,,11.07,0.0556,,79.4,8.5,21.5,0.78,23,20,0.0363,0.34
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,9,2,1.66,0.525,2.427,4.084,1.9,,4.08,0.0312,0.061,44.6,5,6.5,0.48,21,23,0.038,0.45
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,10,2,5.72,3.968,8.15,13.87,4.18,,13.87,0.0583,0.072,97.2,11.5,24,0.76,24,20,0.038,0.36
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,11,2,2.09,1.104,2.988,5.08,1.88,,5.08,0.0217,0.087,36.1,5.5,14.5,0.48,20,17,0.0269,0.42
AMB,Cecropia ficifolia,Cecropiaceae,EA,83,,CG,100,4,2,0.344,0.179,0.438,0.782,0.26,,0.78,0.0043,0.061,8.5,1,7,0.35,17,11,0.0154,0.27
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,1,1,0.023,0.04,0.066,0.089,0.026,,0.09,0.0012,0.022,12,,3.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,2,1,0.049,0.091,0.154,0.203,0.063,,0.2,0.0024,0.026,8,,6.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,3,1,0.022,0.084,0.124,0.146,0.04,,0.15,0.0016,0.026,5.2,,13,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,4,1,0.026,0.037,0.081,0.107,0.044,,0.11,0.0009,0.051,4.4,,3,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,5,1,0.162,0.223,0.26,0.422,0.037,,0.42,0.0011,0.034,10.8,,8.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,3,6,1,0.082,0.194,0.265,0.347,0.071,,0.35,0.0024,0.029,8.1,,9,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,1,1,0.542,0.813,0.931,1.473,0.118,,1.47,0.0046,0.026,46,,37,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,2,1,0.342,0.29,0.553,0.895,0.263,,0.9,0.0045,0.059,11.1,,13,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,3,1,0.354,0.378,0.71,1.064,0.332,,1.06,0.013,0.026,43.2,,13,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,4,1,0.521,0.455,0.823,1.344,0.368,,1.34,0.0062,0.06,12.3,,16,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,5,1,0.195,0.216,0.769,0.964,0.553,,0.96,0.0198,0.028,28.2,,15,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,6,1,0.689,0.954,1.887,2.576,0.933,,2.58,0.0275,0.034,68.8,,30,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,7,1,0.289,0.537,0.619,0.908,0.082,,0.91,0.0038,0.021,38.4,,26,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,6,8,1,0.086,0.369,0.548,0.634,0.179,,0.63,0.0082,0.022,27.3,,21,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,1,1,0.4,0.314,0.593,0.993,0.279,,0.99,0.0079,0.035,13.1,,10,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,2,1,0.107,0.175,0.354,0.461,0.179,,0.46,0.0052,0.034,17.3,,15,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,3,1,0.062,0.089,0.22,0.282,0.131,,0.28,0.0052,0.025,13,,12,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,4,1,0.047,0.1,0.183,0.23,0.083,,0.23,0.0035,0.024,11.8,,10,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,5,1,0.09,0.175,0.511,0.601,0.336,,0.6,0.0107,0.031,26.9,,13,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,6,1,0.073,0.124,0.36,0.433,0.236,,0.43,0.0081,0.029,26.9,,7,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,12,7,1,0.149,0.222,0.813,0.962,0.591,,0.96,0.0179,0.033,44.8,,9,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,1,1,0.568,0.758,1.435,2.003,0.677,,2,0.0134,0.051,22.3,,25,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,2,1,0.173,0.43,0.618,0.791,0.188,,0.79,0.0047,0.04,23.5,,16,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,3,1,0.597,0.581,0.978,1.575,0.397,,1.58,0.0087,0.045,29.1,,12,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,4,1,0.35,0.355,0.713,1.063,0.358,,1.06,0.0068,0.053,13.6,,20,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,5,1,0.427,0.478,1.016,1.443,0.538,,1.44,0.0118,0.046,19.7,,20,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,6,1,0.571,0.563,1.061,1.632,0.498,,1.63,0.0096,0.052,16,,23,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,7,1,0.277,0.246,0.483,0.76,0.237,,0.76,0.0039,0.06,6.6,,18,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,25,8,1,0.559,0.547,0.901,1.46,0.354,,1.46,0.0075,0.047,15.1,,23,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,1,1,0.076,0.073,0.158,0.234,0.085,,0.23,0.001,0.083,2.6,,10,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,2,1,0.197,0.265,0.58,0.777,0.315,,0.78,0.0054,0.058,18.1,,7.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,3,1,0.356,0.662,0.736,1.092,0.074,,1.09,0.0014,0.053,7,,12,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,4,1,0.253,0.587,0.903,1.156,0.316,,1.16,0.0053,0.06,13.2,,17,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,5,1,0.208,0.47,1.02,1.228,0.55,,1.23,0.0077,0.071,25.8,,10,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,6,1,0.118,0.138,0.382,0.5,0.244,,0.5,0.0073,0.033,14.7,,8,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,7,1,0.392,0.331,1.018,1.41,0.687,,1.41,0.0068,0.101,11.4,,9,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,50,8,1,1.308,0.629,1.71,3.018,1.081,,3.02,0.0122,0.089,20.3,,10,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,1,1,0.133,0.121,0.254,0.387,0.133,,0.39,0.0014,0.094,4.7,,5.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,2,1,0.675,0.532,1.071,1.746,0.539,,1.75,0.0062,0.087,15.5,,8.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,3,1,0.652,0.457,1.201,1.853,0.744,,1.85,0.008,0.093,16,,8,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,4,1,0.233,0.184,0.507,0.74,0.323,,0.74,0.0035,0.092,8.8,,4.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,5,1,0.562,0.295,0.989,1.551,0.694,,1.55,0.0077,0.09,19.3,,5.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,6,1,0.584,0.288,0.899,1.483,0.611,,1.48,0.0074,0.083,14.8,,5.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,7,1,0.457,0.241,0.681,1.138,0.44,,1.14,0.0047,0.094,11.7,,5.5,,,,,
AMB,Cecropia ficifolia,Cecropiaceae,EA,0,,CG,100,8,1,0.543,0.333,0.658,1.201,0.325,,1.2,0.005,0.066,16.5,,7.5,,,,,
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,1,2,0.04,0.096,0.358,0.396,0.26,,0.4,0.0119,0.022,12,11.5,16.5,0.18,17,13,0.017671459,0.23
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,2,2,0.14,0.248,0.925,1.061,0.68,,1.06,0.0321,0.021,32,13.5,23,0.2,21,22,0.03630503,0.34
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,3,2,0.07,0.112,0.413,0.482,0.3,,0.48,0.0145,0.021,12,14,17,0.17,16,14,0.017671459,0.29
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,4,2,0.08,0.16,0.454,0.533,0.29,,0.53,0.0126,0.023,11,14.5,18,0.22,15,17,0.020106193,0.23
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,5,2,0.03,0.055,0.137,0.171,0.08,,0.17,0.0032,0.026,6,3.5,11.5,0.17,10,8,0.006361725,0.21
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,6,2,0.03,0.078,0.207,0.24,0.13,,0.24,0.0064,0.02,8,10.5,14.5,0.18,10,13,0.010386891,0.21
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,7,2,0.04,0.067,0.26,0.304,0.19,,0.3,0.0091,0.021,9,9.5,13,0.14,15,14,0.016512996,0.33
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,8,2,0.05,0.11,0.328,0.375,0.22,,0.38,0.0111,0.02,11,13,15.5,0.19,14,15,0.016512996,0.25
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,9,2,0.07,0.127,0.49,0.564,0.36,,0.56,0.0189,0.019,19,12,15.5,0.19,21,18,0.029864765,0.29
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,10,2,0.03,0.03,0.104,0.131,0.07,,0.13,0.0034,0.022,6,4.5,9.5,0.14,11,8,0.007088218,0.21
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,3,11,2,0.05,0.081,0.334,0.38,0.25,,0.38,0.0113,0.022,14,5.5,12,0.18,18,19,0.026880252,0.27
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,1,2,0.18,0.288,1.295,1.475,1.01,,1.48,0.0453,0.022,38,21,22,0.24,24,20,0.038013271,0.29
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,2,2,0.28,0.388,0.986,1.27,0.6,,1.27,0.0234,0.026,17,17.5,22.5,0.25,30,25,0.059395736,0.35
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,3,2,0.08,0.088,0.365,0.442,0.28,,0.44,0.0127,0.022,12,8,11,0.16,17,16,0.021382465,0.4
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,4,2,0.65,0.848,2.192,2.838,1.34,,2.84,0.0426,0.032,35,25,29,0.37,35,27,0.075476764,0.27
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,5,2,0.25,0.444,1.525,1.778,1.08,,1.78,0.045,0.024,32,20.5,24,0.27,32,25,0.063793966,0.32
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,6,2,0.2,0.47,1.236,1.435,0.77,,1.44,0.0355,0.022,25,27.5,28,0.26,24,29,0.055154586,0.32
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,7,2,0.29,0.215,0.775,1.064,0.56,,1.06,0.0192,0.029,16,12,16.5,0.21,20,23,0.03630503,0.38
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,8,2,0.16,0.197,0.767,0.931,0.57,,0.93,0.0255,0.022,28,10.5,17,0.22,20,17,0.026880252,0.3
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,9,2,0.07,0.087,0.423,0.496,0.34,,0.5,0.0154,0.022,17,12,11,0.21,20,12,0.020106193,0.23
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,6,10,2,0.08,0.142,0.53,0.611,0.39,,0.61,0.015,0.026,15,12,17.5,0.22,14,18,0.020106193,0.21
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,1,2,1.37,0.968,3.333,4.703,2.37,,4.7,0.0756,0.031,54,21,25,0.36,37,31,0.090792028,0.38
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,2,2,1.56,1.223,3.849,5.408,2.63,,5.41,0.0792,0.033,53,28,37,0.35,34,36,0.096211275,0.34
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,3,2,2.31,1.191,4.683,6.991,3.49,,6.99,0.101,0.035,78,25,28,0.36,40,32,0.101787602,0.42
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,4,2,1.69,1.383,4.562,6.248,3.18,,6.25,0.0941,0.034,78,21,30.5,0.41,34,40,0.107521009,0.34
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,5,2,0.36,0.659,1.968,2.327,1.31,,2.33,0.045,0.029,38,26,28,0.33,29,18,0.043373614,0.28
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,6,2,1.72,1.413,5.039,6.754,3.63,,6.75,0.1189,0.03,74,27,31,0.39,36,41,0.116415643,0.38
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,7,2,1.05,1.047,3.828,4.876,2.78,,4.88,0.1023,0.027,68,25,29,0.36,34,35,0.093482016,0.35
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,8,2,2.26,1.602,5.411,7.671,3.81,,7.67,0.1213,0.031,76,26.5,33,0.42,45,36,0.128824934,0.35
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,12,9,2,1.79,1.89,6.011,7.803,4.12,,7.8,0.1134,0.036,71,40.5,43,0.44,33,47,0.125663706,0.29
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,1,2,1.07,0.602,2.92,3.988,2.32,,3.99,0.0625,0.037,52,14.5,20.5,0.31,37,31,0.090792028,0.39
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,2,2,3.12,1.339,5.293,8.411,3.95,,8.41,0.0762,0.052,51,18.5,23,0.38,36,34,0.096211275,0.51
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,3,2,1.98,1.025,3.766,5.746,2.74,,5.75,0.0594,0.046,42,18,24,0.35,33,33,0.08552986,0.44
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,4,2,1.37,0.845,3.474,4.841,2.63,,4.84,0.0742,0.035,62,13.5,22,0.34,35,35,0.096211275,0.42
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,5,2,2.81,1.605,5.557,8.371,3.95,,8.37,0.0857,0.046,61,23,33,0.41,44,36,0.125663706,0.37
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,6,2,2.93,1.657,5.041,7.975,3.38,,7.98,0.0885,0.038,55,24,34,0.41,40,36,0.113411495,0.37
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,7,2,2.03,1.434,4.522,6.554,3.09,,6.55,0.0714,0.043,45,29,32,0.38,35,40,0.110446617,0.4
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,8,2,2.7,1.266,4.906,7.608,3.64,,7.61,0.0877,0.041,58,23,27,0.38,38,32,0.096211275,0.41
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,9,2,2.49,1.652,6.432,8.924,4.78,,8.92,0.0956,0.05,60,22,23,0.46,40,37,0.116415643,0.43
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,10,2,2.35,1.296,4.904,7.258,3.61,,7.26,0.0899,0.04,64,25,29,0.4,38,38,0.113411495,0.36
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,25,11,2,1.56,0.71,2.791,4.352,2.08,,4.35,0.0473,0.044,39,11.5,17,0.31,29,29,0.066051986,0.55
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,1,2,4.72,2.169,7.754,12.474,5.59,,12.47,0.075,0.074,68,16,22,0.5,26,30,0.061575216,0.5
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,2,2,4.04,1.959,6.333,10.377,4.37,,10.38,0.0635,0.069,42,20.5,26,0.44,29,26,0.059395736,0.5
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,3,2,2.8,1.071,4.265,7.067,3.19,,7.07,0.0513,0.062,43,15.5,20,0.36,26,25,0.051070516,0.53
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,4,2,4.81,2.56,8.508,13.316,5.95,,13.32,0.0799,0.074,67,17.5,24,0.53,30,28,0.066051986,0.48
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,5,2,5.09,2.654,8.874,13.959,6.22,,13.96,0.0779,0.08,56,13.5,23,0.52,35,33,0.090792028,0.54
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,6,2,3.17,1.071,4.371,7.539,3.3,,7.54,0.0457,0.072,57,8,16.5,0.35,20,22,0.034636059,0.67
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,8,2,3.59,1.121,4.438,8.024,3.32,,8.02,0.0482,0.069,34,15.5,19,0.39,28,26,0.057255526,0.49
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,9,2,2.49,0.644,2.93,5.422,2.29,,5.42,0.0348,0.066,32,5.5,15,0.32,22,21,0.03630503,0.53
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,10,2,2.23,0.625,3.358,5.592,2.73,,5.59,0.0396,0.069,40,10.5,16,0.34,28,26,0.057255526,0.43
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,1,2,3.32,1.024,4.239,7.563,3.22,,7.56,0.0329,0.098,37,10.5,16,0.38,25,17,0.034636059,0.56
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,2,2,2.39,1.086,5.075,7.463,3.99,,7.46,0.0405,0.098,31,5.5,16,0.39,26,27,0.055154586,0.57
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,3,2,3.43,1.204,6.214,9.642,5.01,,9.64,0.0451,0.111,38,8.5,15,0.43,27,22,0.047143525,0.55
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,4,2,0.67,0.304,1.066,1.736,0.76,,1.74,0.0081,0.094,12,1,10.5,0.28,12,11,0.010386891,0.47
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,5,2,1.14,0.528,2.236,3.377,1.71,,3.38,0.0163,0.105,20,4.5,14.5,0.3,22,14,0.0254469,0.52
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,6,2,1.98,0.665,3.355,5.331,2.69,,5.33,0.0283,0.095,24,9.8,13,0.36,22,24,0.041547563,0.5
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,7,2,0.96,0.361,1.668,2.623,1.31,,2.62,0.0128,0.102,16,2.5,10,0.26,18,17,0.024052819,0.68
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,8,2,2.66,0.82,3.597,6.253,2.78,,6.25,0.0322,0.086,27,9.5,15.5,0.36,24,20,0.038013271,0.52
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,100,9,2,2.16,0.585,2.887,5.051,2.3,,5.05,0.0257,0.09,23,8.5,13,0.34,23,23,0.041547563,0.5
GUA,Bellucia pentamera,Melastomataceae,EA,110,,CG,50,7,2,0.34,0.117,0.397,0.734,0.28,,0.73,0.0039,0.072,10,4.5,8,0.23,13,9,0.009503318,0.35
GUA,Bellucia pentamera,Melastomataceae,EA,0,,CG,3,1,1,0.005,0.007,0.027,0.032,0.02,,0.032,0.0008,0.024,2.1,,3.7,,,,,
