ID,Species,Botanical.family,Wood.density..g.cm-3.,dbh..cm.,Total.height..m.,Basal.area..m2.,Basal.area..m2.ha-1.,Wood.mass..kg........bole.+.branches.,Wood.mass..kg.ha-1........bole.+.branches.,Leaf.mass..kg.,Leaf.mass..kg.ha-1.,Vegetation.type,Growing.environment,Location,Mean.annual.rainfall,Mean.annual.temperature
53,Qualea parviflora Mart.er ,Vochysiaceae,0.51,13.4,4.5,0.014,0.0281,23.38,364.78,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
56,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.5,4.5,0.0087,0.0173,15.94,248.65,0.65823,10.27,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
59,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.2,4.5,0.0081,0.0163,15.88,247.73,0.04306,0.67,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
78,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.2,4,0.0081,0.0163,21.92,569.84,0.3588,9.33,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
84,Qualea parviflora Mart.er ,Vochysiaceae,0.51,15.6,4,0.0191,0.0382,56.92,1577.44,0.19193,5.32,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
86,Qualea parviflora Mart.er ,Vochysiaceae,0.51,8,3,0.005,0.0099,9.01,249.68,0.19485,5.4,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
87,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7.6,3.5,0.0046,0.0092,6.18,171.4,0.09636,2.67,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
90,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7.6,3.5,0.0046,0.0092,6.64,183.9,0.02898,0.8,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
92,Qualea parviflora Mart.er ,Vochysiaceae,0.51,13.1,5,0.0134,0.0268,44.05,1321.48,0.159,4.77,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
95,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.8,4,0.0092,0.0184,18.84,565.16,0.62467,18.74,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
96,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.8,4,0.0092,0.0184,17.17,515.16,0.89667,26.9,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
97,Qualea parviflora Mart.er ,Vochysiaceae,0.51,12.1,5,0.0115,0.023,33.91,1017.23,0.7054,21.16,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
100,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.5,4,0.0103,0.0206,12.44,360.84,0.34917,10.13,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
101,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.9,4.5,0.0112,0.0224,34.95,1013.56,0.16362,4.74,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
