"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Petrophile pulchella","Proteaceae","Waratah2003",9,1050,18913.4,24379.1,43292.5,9.37666666666667,69.0536813291216,0.343333333333333,55087.572815534
"Petrophile pulchella","Proteaceae","Waratah2003",9,895,23820.9,20722.5,44543.4,9.46333333333333,70.3360794503169,0.343333333333333,69381.2621359223
"Petrophile pulchella","Proteaceae","Waratah2003",9,970,20364.1,18469.2,38833.3,8.77,60.4072504015716,0.343333333333333,59312.9126213592
"Petrophile pulchella","Proteaceae","Waratah2003",9,1060,13602.6,19289,32891.6,9.8,75.4296396126909,0.343333333333333,39619.2233009709
"Petrophile pulchella","Proteaceae","Waratah2003",9,740,7262.3,10295.8,17558.1,6.41,32.2705182774907,0.343333333333333,21152.3300970874
"Phyllota phylicoides","Fabaceae","Basin1981",32,705,2794.1,6231.1,9025.2,4.95666666666667,19.2960896840152,0.156666666666667,17834.6808510638
"Phyllota phylicoides","Fabaceae","Basin1981",32,1630,8200.8,48233.9,56434.7,6.42,32.3712848618546,0.156666666666667,52345.5319148936
"Phyllota phylicoides","Fabaceae","Basin1981",32,1580,14884.5,63590.5,78475,10.9366666666667,93.9420066493907,0.156666666666667,95007.4468085106
"Phyllota phylicoides","Fabaceae","Basin1981",32,740,1641.7,3875.2,5516.9,4.11,13.267024315926,0.156666666666667,10478.9361702128
"Phyllota phylicoides","Fabaceae","Basin1981",32,745,730.6,3802.8,4533.4,4.33,14.7253516257224,0.156666666666667,4663.40425531915
"Phyllota phylicoides","Fabaceae","Basin1981",32,985,3360.4,11512.5,14872.9,5.7,25.5175863287831,0.156666666666667,21449.3617021277
"Phyllota phylicoides","Fabaceae","Basin1981",32,675,1250.9,7406,8656.9,6.30666666666667,31.2384614575551,0.156666666666667,7984.46808510638
"Phyllota phylicoides","Fabaceae","Basin2005",7,730,9914.3,14458.5,24372.8,7.50333333333333,44.2179253259226,0.193333333333333,51280.8620689655
"Phyllota phylicoides","Fabaceae","Basin2005",7,740,12477,12245.5,24722.5,6.92666666666667,37.6823915888434,0.193333333333333,64536.2068965517
"Phyllota phylicoides","Fabaceae","Basin2005",7,575,8496.7,5336.2,13832.9,5.11333333333333,20.5351600065298,0.193333333333333,43948.4482758621
"Phyllota phylicoides","Fabaceae","Basin2005",7,520,3660.6,2393.5,6054.1,3.54333333333333,9.8608397477339,0.193333333333333,18934.1379310345
"Phyllota phylicoides","Fabaceae","Basin2005",7,440,4046.3,4711.4,8757.7,5.35,22.4800589318435,0.193333333333333,20929.1379310345
"Phyllota phylicoides","Fabaceae","Basin2005",7,630,4498.7,5801.3,10300,5.65666666666667,25.1310744392827,0.193333333333333,23269.1379310345
"Phyllota phylicoides","Fabaceae","Basin2005",7,860,3393.3,8439.7,11833,5.61,24.7181295382608,0.193333333333333,17551.5517241379
"Phyllota phylicoides","Fabaceae","Basin2007",5,435,1678.5,1821,3499.5,2.97666666666667,6.95905533336813,0.17,9873.5294117647
"Phyllota phylicoides","Fabaceae","Basin2007",5,437,2312.1,1822.7,4134.8,5.31666666666667,22.2008062515244,0.17,13600.5882352941
"Phyllota phylicoides","Fabaceae","Basin2007",5,325,2224.9,1490.9,3715.8,3.00333333333333,7.08430016049124,0.17,13087.6470588235
"Phyllota phylicoides","Fabaceae","Basin2007",5,430,2249.7,2899.7,5149.4,3.7,10.7521008569111,0.17,13233.5294117647
"Phyllota phylicoides","Fabaceae","Basin2007",5,490,2774.3,2173.1,4947.4,3.31333333333333,8.62224066411735,0.17,16319.4117647059
"Phyllota phylicoides","Fabaceae","Basin2007",5,425,1301.1,1307.2,2608.3,3.83333333333333,11.5409896788125,0.17,7653.5294117647
"Phyllota phylicoides","Fabaceae","Basin2007",5,390,1351.7,1480.4,2832.1,3.63333333333333,10.3681284214723,0.17,7951.17647058824
"Phyllota phylicoides","Fabaceae","Waratah2003",9,710,22430,37836.4,60266.4,10.49,86.4252924400716,0.193333333333333,116017.24137931
"Phyllota phylicoides","Fabaceae","Waratah2003",9,940,3267.3,11361.5,14628.8,5.79,26.3297665695524,0.193333333333333,16899.8275862069
"Phyllota phylicoides","Fabaceae","Waratah2003",9,495,1207.1,1498,2705.1,3.04666666666667,7.29020537899527,0.193333333333333,6243.62068965517
"Phyllota phylicoides","Fabaceae","Waratah2003",9,720,6331.1,11649.7,17980.8,7.04333333333333,38.9624596954873,0.193333333333333,32747.0689655172
"Phyllota phylicoides","Fabaceae","Waratah2003",9,610,6407.2,11636.1,18043.3,8.19,52.6814457478636,0.193333333333333,33140.6896551724
"Phyllota phylicoides","Fabaceae","Waratah2003",9,650,5818.9,9236.7,15055.6,6.10333333333333,29.2566139119768,0.193333333333333,30097.7586206897
"Phyllota phylicoides","Fabaceae","Waratah2003",9,810,6727.7,17293.7,24021.4,7.53666666666667,44.6116716051725,0.193333333333333,34798.4482758621
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,235,111.8,829.3,941.1,3.62333333333333,10.3111346947484,0.095,1176.84210526316
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,270,66.7,1524.9,1591.6,3.23666666666667,8.22783988639793,0.095,702.105263157895
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,340,62.2,1063.1,1125.3,4.188888889,13.7812167372145,0.095,654.736842105263
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,400,36.7,409.8,446.5,3.08333333333333,7.46673670618824,0.095,386.315789473684
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,285,88.2,1032.7,1120.9,2.68,5.64104376878583,0.095,928.421052631579
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,125,57.8,400.1,457.9,2.33,4.26384808926841,0.095,608.421052631579
"Pimelea linifolia","Thymelaeaceae","Basin2005",7,240,22.8,671.5,694.3,2.17,3.69836141162224,0.095,240
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,195,125.9,311.8,437.7,1.93666666666667,2.94577543816229,0.095,1325.26315789474
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,370,398.7,641.8,1040.5,2.42666666666667,4.62498289144481,0.095,4196.84210526316
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,460,260.9,1754.6,2015.5,4.73666666666667,17.6212019206314,0.095,2746.31578947368
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,115,5.6,127.1,132.7,1.47333333333333,1.7048725199331,0.095,58.9473684210526
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,275,60.7,389.6,450.3,1.56666666666667,1.92771615882774,0.095,638.947368421053
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,515,694.4,971.3,1665.7,3.55,9.89798035421634,0.095,7309.47368421053
"Pimelea linifolia","Thymelaeaceae","Basin2007",5,255,236.1,486.8,722.9,2.34,4.30052618349907,0.095,2485.26315789474
"Pimelea linifolia","Thymelaeaceae","Waratah2003",9,280,18.4,226.9,245.3,1.80666666666667,2.56357451191431,0.09,204.444444444444
"Pimelea linifolia","Thymelaeaceae","Waratah2003",9,380,12.4,192.6,205,0.82,0.528101725068444,0.09,137.777777777778
"Pimelea linifolia","Thymelaeaceae","Waratah2003",9,330,12.5,272.6,285.1,1.71666666666667,2.31452475430098,0.09,138.888888888889
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,275,276.2,320.5,596.7,1.87333333333333,2.75625886133448,0.105,2630.47619047619
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,235,240.3,217.9,458.2,1.83666666666667,2.64941853117365,0.105,2288.57142857143
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,185,57.6,40.5,98.1,0.663333333333333,0.345583918541137,0.105,548.571428571429
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,60,24.5,28.1,52.6,0.826666666666667,0.536723651573296,0.105,233.333333333333
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,352,176,160.6,336.6,1.3,1.32732289614169,0.105,1676.19047619048
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,122,44.1,27.2,71.3,0.713333333333333,0.399645492121662,0.105,420
"Pimelea linifolia","Thymelaeaceae","Waratah2011",1.3,370,332.9,326.8,659.7,1.57666666666667,1.9524038410972,0.105,3170.47619047619
"Pultenaea tuberculata","Fabaceae","Basin1981",32,1410,3246.5,22141.5,25388,6.37,31.8690227363619,0.113333333333333,28645.5882352941
"Pultenaea tuberculata","Fabaceae","Basin1981",32,1280,2372.1,20121.2,22493.3,5.46,23.4139758879394,0.113333333333333,20930.2941176471
"Pultenaea tuberculata","Fabaceae","Basin1981",32,1220,17.2,24870,24887.2,5.44666666666667,23.2997615416889,0.113333333333333,151.764705882353
"Pultenaea tuberculata","Fabaceae","Basin1981",32,955,683.2,7446.9,8130.1,3.8,11.3411494794592,0.113333333333333,6028.23529411765
