nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
37,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,7,EA,0.667,41.624,2.926,0.694,99,0.105,0.110,0.215,,0.03,0.171,0.201,0.416,10.406,25.226,0.661,FW,3,full overhead light along logging road or in tree fall gap
38,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,8,EA,0.667,109.37,10.406,2.351,125,0.363,0.342,0.705,,0.153,0.512,0.665,1.37,15.624,33.19,0.464,FW,3,full overhead light along logging road or in tree fall gap
39,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,9,EA,0.667,129.846,9.402,2.061,125,0.477,0.423,0.9,,0.019,0.704,0.723,1.623,16.231,36.736,0.64,FW,3,full overhead light along logging road or in tree fall gap
40,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,10,EA,0.667,181.66,8.042,1.606,175,0.544,0.657,1.201,,0.059,0.857,0.916,2.117,36.332,29.946,0.851,FW,3,full overhead light along logging road or in tree fall gap
41,Inpa (DRY),-16,-61,1160,24.3,Jacaratia sp. ,Caricaceae,2,DA,0.667,24.366,11.341,2.297,151,0.023,0.149,0.172,,0.004,1.159,1.163,1.335,24.366,9.439,0.158,FW,3,full overhead light along logging road or in tree fall gap
42,Inpa (DRY),-16,-61,1160,24.3,Jacaratia sp. ,Caricaceae,3,DA,0.667,41.536,31.271,2.297,196,0.103,0.186,0.289,,0.019,0.249,0.268,0.557,41.536,24.798,0.068,FW,3,full overhead light along logging road or in tree fall gap
43,Inpa (DRY),-16,-61,1160,24.3,Jacaratia sp. ,Caricaceae,4,DA,0.667,62.44,62.072,4.337,38,0.136,0.360,0.496,,0.03,1.508,1.538,2.034,31.22,21.781,0.343,FW,3,full overhead light along logging road or in tree fall gap
44,Inpa (DRY),-16,-61,1160,24.3,Jacaratia sp. ,Caricaceae,5,DA,0.667,142.617,21.813,2.488,349,0.192,0.876,1.068,,,9.276,9.276,10.344,47.539,13.463,0.238,FW,3,full overhead light along logging road or in tree fall gap
45,Inpa (DRY),-16,-61,1160,24.3,Jacaratia sp. ,Caricaceae,6,DA,0.667,21.28,10.694,1.986,248,0.019,0.229,0.248,,0.027,0.393,0.42,0.668,21.28,8.929,0.16,FW,3,full overhead light along logging road or in tree fall gap
46,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,1,EA,0.667,31.267,2.112,0.363,142,0.116,0.087,0.203,,0.011,0.126,0.137,0.34,7.817,37.099,0.549,FW,3,full overhead light along logging road or in tree fall gap
47,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,2,EA,0.667,7.691,1.003,0.145,114,0.023,0.033,0.056,,,0.042,0.042,0.098,1.923,29.905,0.568,FW,3,full overhead light along logging road or in tree fall gap
48,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,3,EA,0.667,32.849,1.744,0.396,144,0.119,0.085,0.204,,0.005,0.097,0.102,0.306,4.693,36.226,0.596,FW,3,full overhead light along logging road or in tree fall gap
49,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,4,EA,0.667,25.561,1.674,0.396,171,0.091,0.099,0.19,,0.008,0.152,0.16,0.35,3.652,35.602,0.602,FW,3,full overhead light along logging road or in tree fall gap
50,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,5,EA,0.667,36.065,2.746,0.283,144,0.153,0.121,0.274,,0.008,0.11,0.118,0.392,4.508,42.424,0.645,FW,3,full overhead light along logging road or in tree fall gap
51,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,6,EA,0.667,37.517,1.584,0.292,213,0.124,0.148,0.272,0.009,0.009,0.126,0.135,0.407,5.36,33.052,0.816,FW,3,full overhead light along logging road or in tree fall gap
52,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,7,EA,0.667,56.486,3.333,0.322,151,0.2,0.136,0.336,0.005,0.01,0.194,0.204,0.54,6.276,35.407,0.576,FW,3,full overhead light along logging road or in tree fall gap
53,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,8,EA,0.667,56.024,1.961,0.229,166,0.187,0.109,0.296,,0.001,0.135,0.136,0.432,7.003,33.379,0.689,FW,3,full overhead light along logging road or in tree fall gap
54,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,9,EA,0.667,13.213,1.539,0.221,111,0.042,0.048,0.09,0.003,0.003,0.058,0.061,0.151,1.888,31.788,0.554,FW,3,full overhead light along logging road or in tree fall gap
55,Inpa (DRY),-16,-61,1160,24.3,Rollinia herzogii ,Annonaceae,10,EA,0.667,39.083,2.061,0.246,162,0.128,0.044,0.172,,0.002,0.096,0.098,0.27,3.908,32.751,0.27,FW,3,full overhead light along logging road or in tree fall gap
56,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,1,EA,0.667,30.673,1.496,0.503,87,0.068,0.056,0.124,,0.004,0.09,0.094,0.218,2.359,22.169,0.674,FW,3,full overhead light along logging road or in tree fall gap
57,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,2,EA,0.667,23.925,1.368,0.466,80,0.04,0.047,0.087,,0.002,0.095,0.097,0.184,3.988,16.719,0.67,FW,3,full overhead light along logging road or in tree fall gap
58,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,3,EA,0.667,28.922,1.651,0.478,99,0.06,0.069,0.129,,0.002,0.086,0.088,0.217,4.82,20.745,0.693,FW,3,full overhead light along logging road or in tree fall gap
59,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,4,EA,0.667,53.057,1.791,0.407,105,0.126,0.076,0.202,,0.018,0.128,0.146,0.348,7.58,23.748,0.712,FW,3,full overhead light along logging road or in tree fall gap
60,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,5,EA,0.667,14.543,1.057,0.608,86,0.028,,0.028,,,0.03,0.03,0.058,2.424,19.254,,FW,3,full overhead light along logging road or in tree fall gap
61,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,6,EA,0.667,9.078,0.622,0.152,65,0.015,0.016,0.031,,,0.015,0.015,0.046,1.009,16.524,0.683,FW,3,full overhead light along logging road or in tree fall gap
62,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,7,EA,0.667,14.538,0.801,0.292,82,0.025,0.017,0.042,,,0.019,0.019,0.061,1.817,17.196,0.394,FW,3,full overhead light along logging road or in tree fall gap
63,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,8,EA,0.667,15.097,0.866,0.302,82,0.03,0.030,0.06,,,0.039,0.039,0.099,3.019,19.872,0.654,FW,3,full overhead light along logging road or in tree fall gap
64,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,9,EA,0.667,9.336,0.608,0.264,56,0.014,0.016,0.03,,,0.014,0.014,0.044,1.037,14.996,0.674,FW,3,full overhead light along logging road or in tree fall gap
65,Inpa (DRY),-16,-61,1160,24.3,Erythroxylum daphnites ,Erythroxylaceae,10,EA,0.667,80.77,3.205,0.554,175,0.198,0.178,0.376,,,0.352,0.352,0.728,11.539,24.514,0.599,FW,3,full overhead light along logging road or in tree fall gap
66,Inpa (DRY),-16,-61,1160,24.3,Bougainvillea modesta ,Nyctanginaceae,1,EA,0.667,62.287,7.022,1.14,138,0.151,0.135,0.285,,0.021,0.301,0.322,0.607,12.815,24.162,0.267,FW,3,full overhead light along logging road or in tree fall gap
67,Inpa (DRY),-16,-61,1160,24.3,Bougainvillea modesta ,Nyctanginaceae,2,EA,0.667,133.941,6.605,0.374,190,0.445,0.298,0.743,,0.011,0.442,0.453,1.196,7.879,33.224,0.55,FW,3,full overhead light along logging road or in tree fall gap
68,Inpa (DRY),-16,-61,1160,24.3,Bougainvillea modesta ,Nyctanginaceae,3,EA,0.667,121.981,11.401,0.739,182,0.438,0.400,0.838,,0.061,0.413,0.474,1.312,9.383,35.907,0.438,FW,3,full overhead light along logging road or in tree fall gap
69,Inpa (DRY),-16,-61,1160,24.3,Bougainvillea modesta ,Nyctanginaceae,4,EA,0.667,64.66,3.664,0.255,135,0.21,0.164,0.374,,0.004,0.143,0.147,0.521,7.184,32.478,0.746,FW,3,full overhead light along logging road or in tree fall gap
70,Inpa (DRY),-16,-61,1160,24.3,Bougainvillea modesta ,Nyctanginaceae,5,EA,0.667,42.087,5.187,0.636,126,0.182,0.273,0.455,0.028,0.01,0.194,0.204,0.659,7.014,43.244,0.851,FW,3,full overhead light along logging road or in tree fall gap
71,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,1,EA,0.667,7.72,1.606,0.181,123,0.037,0.070,0.107,,,0.106,0.106,0.213,3.86,47.93,0.734,FW,3,full overhead light along logging road or in tree fall gap
72,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,2,EA,0.667,11.81,1.188,0.43,150,0.069,0.087,0.156,,,0.42,0.42,0.576,5.905,58.424,0.746,FW,3,full overhead light along logging road or in tree fall gap
73,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,3,EA,0.667,10.405,1.208,0.229,131,0.047,0.064,0.111,,0.003,0.215,0.218,0.329,5.202,45.172,0.747,FW,3,full overhead light along logging road or in tree fall gap
74,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,4,EA,0.667,11.227,1.767,0.212,118,0.068,0.122,0.19,0.01,0.01,0.241,0.251,0.441,5.613,60.569,1.197,FW,3,full overhead light along logging road or in tree fall gap
75,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,5,EA,0.667,11.346,2.659,0.264,131,0.055,0.086,0.141,,0.014,0.194,0.208,0.349,11.346,48.474,0.524,FW,3,full overhead light along logging road or in tree fall gap
76,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,6,EA,0.667,13.922,0.665,0.554,108,0.064,0.050,0.114,0.01,0.006,0.119,0.125,0.239,2.784,45.971,0.761,FW,3,full overhead light along logging road or in tree fall gap
77,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,7,EA,0.667,7.859,0.817,0.132,113,0.038,0.042,0.08,,0.002,0.108,0.11,0.19,3.93,48.349,0.873,FW,3,full overhead light along logging road or in tree fall gap
78,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,8,EA,0.667,12.497,1.839,0.255,112,0.061,0.051,0.112,,0.005,0.17,0.175,0.287,4.166,48.813,0.492,FW,3,full overhead light along logging road or in tree fall gap
79,Inpa (DRY),-16,-61,1160,24.3,Anadenanthera colubrina ,Fabaceae - Mimosoideae,9,EA,0.667,22.873,1.15,0.238,196,0.091,0.042,0.133,,0.003,0.146,0.149,0.282,7.624,39.785,0.336,FW,3,full overhead light along logging road or in tree fall gap
