nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
309,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,5,DA,0.667,100.663,66.332,4.227,149,0.22,0.477,0.697,,0.031,0.602,0.633,1.33,20.133,21.855,0.11,FW,3,full overhead light along logging road or in tree fall gap
310,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,6,DA,0.667,26.238,13.332,3.597,225,0.05,0.431,0.481,0.093,0.019,0.521,0.54,1.021,26.238,19.057,0.241,FW,3,full overhead light along logging road or in tree fall gap
311,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,7,DA,0.667,76.057,35.467,3.464,184,0.188,0.474,0.662,,0.023,0.585,0.608,1.27,25.352,24.718,0.155,FW,3,full overhead light along logging road or in tree fall gap
312,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,8,DA,0.667,46.409,15.067,3.173,125,0.091,0.223,0.314,,0.017,0.363,0.38,0.694,23.204,19.608,0.213,FW,3,full overhead light along logging road or in tree fall gap
313,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,9,DA,0.667,18.499,6.379,1.539,111,0.035,0.069,0.104,,0.006,0.063,0.069,0.173,6.166,18.92,0.169,FW,3,full overhead light along logging road or in tree fall gap
314,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,10,DA,0.667,14.595,9.24,1.368,94,0.03,0.096,0.126,,0.015,0.168,0.183,0.309,7.297,20.555,0.216,FW,3,full overhead light along logging road or in tree fall gap
315,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,1,EA,0.667,42.464,4.412,0.679,144,0.132,0.129,0.261,,0.059,0.066,0.125,0.386,3.86,31.085,0.394,FW,3,full overhead light along logging road or in tree fall gap
316,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,2,EA,0.667,27.24,7.992,0.968,170,0.084,0.228,0.312,,0.043,0.11,0.153,0.465,9.08,30.837,0.343,FW,3,full overhead light along logging road or in tree fall gap
317,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,3,EA,0.667,27.298,1.863,0.665,154,0.077,0.129,0.206,,0.02,0.061,0.081,0.287,3.412,28.207,0.69,FW,3,full overhead light along logging road or in tree fall gap
318,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,4,EA,0.667,25.901,6.651,0.849,135,0.097,0.150,0.247,,0.031,0.099,0.13,0.377,6.475,37.451,0.338,FW,3,full overhead light along logging road or in tree fall gap
319,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,5,EA,0.667,33.907,4.792,0.665,111,0.093,0.063,0.156,,0.015,0.024,0.039,0.195,3.767,27.428,0.235,FW,3,full overhead light along logging road or in tree fall gap
320,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,6,EA,0.667,27.191,2.573,0.665,123,0.077,0.097,0.174,,0.004,0.048,0.052,0.226,3.021,28.319,0.52,FW,3,full overhead light along logging road or in tree fall gap
321,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,7,EA,0.667,11.411,1.674,1.057,97,0.032,0.050,0.082,,0.001,0.029,0.03,0.112,1.902,28.043,0.381,FW,3,full overhead light along logging road or in tree fall gap
322,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,8,EA,0.667,27.723,5.35,1.307,125,0.098,0.202,0.3,,0.017,0.108,0.125,0.425,3.08,35.35,0.521,FW,3,full overhead light along logging road or in tree fall gap
323,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,9,EA,0.667,22.715,3.836,1.208,136,0.062,0.129,0.191,,0.026,0.038,0.064,0.255,5.679,27.295,0.395,FW,3,full overhead light along logging road or in tree fall gap
324,La Chonta (MOIST),-15,-62,1580,25.3,Gallesia integrifolia,Phytolaccaceae,10,EA,0.667,9.91,1.697,0.739,76,0.034,0.034,0.068,,0.006,0.013,0.019,0.087,1.982,34.308,0.377,FW,3,full overhead light along logging road or in tree fall gap
325,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,1,EA,0.667,125.909,7.596,2.433,106,0.638,0.187,0.825,,0.096,0.135,0.231,1.056,12.591,50.672,0.369,FW,3,full overhead light along logging road or in tree fall gap
326,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,2,EA,0.667,15.154,2.545,1.539,70,0.053,0.037,0.09,,0.014,0.026,0.04,0.13,5.051,34.975,0.262,FW,3,full overhead light along logging road or in tree fall gap
327,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,3,EA,0.667,31.994,4.227,1.517,81,0.136,0.095,0.231,,0.024,0.041,0.065,0.296,6.399,42.508,0.425,FW,3,full overhead light along logging road or in tree fall gap
328,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,4,EA,0.667,31.54,2.956,2.087,59,0.127,0.057,0.184,,0.01,0.048,0.058,0.242,4.506,40.267,0.385,FW,3,full overhead light along logging road or in tree fall gap
329,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,5,EA,0.667,25.105,2.806,1.674,65,0.1,0.058,0.158,,0.005,0.052,0.057,0.215,5.021,39.833,0.403,FW,3,full overhead light along logging road or in tree fall gap
330,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,6,EA,0.667,59.378,3.431,2.895,85,0.253,0.124,0.377,,0.005,0.105,0.11,0.487,8.483,42.609,0.462,FW,3,full overhead light along logging road or in tree fall gap
331,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,7,EA,0.667,31.506,2.776,2.297,59,0.118,0.055,0.173,,0.015,0.057,0.072,0.245,7.876,37.453,0.368,FW,3,full overhead light along logging road or in tree fall gap
332,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,8,EA,0.667,17.423,1.744,1.453,55,0.064,0.034,0.098,,0.005,0.026,0.031,0.129,4.356,36.734,0.387,FW,3,full overhead light along logging road or in tree fall gap
333,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,9,EA,0.667,14.314,2.488,1.72,63,0.043,0.033,0.076,,0.004,0.025,0.029,0.105,4.771,30.04,0.25,FW,3,full overhead light along logging road or in tree fall gap
334,La Chonta (MOIST),-15,-62,1580,25.3,Stylogyne ambigua,Myrsinaceae,10,EA,0.667,24.612,2.461,1.496,64,0.08,0.046,0.126,,0.009,0.035,0.044,0.17,6.153,32.504,0.367,FW,3,full overhead light along logging road or in tree fall gap
335,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,1,EA,0.667,22.314,1.839,0.679,138,0.049,0.034,0.083,,0.002,0.013,0.015,0.098,7.438,21.959,0.203,FW,3,full overhead light along logging road or in tree fall gap
336,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,2,EA,0.667,13.303,2.217,0.849,119,0.03,0.033,0.063,,0.001,0.01,0.011,0.074,6.652,22.551,0.187,FW,3,full overhead light along logging road or in tree fall gap
337,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,3,EA,0.667,8.282,3.205,0.709,125,0.022,0.040,0.062,,0.006,0.018,0.024,0.086,4.141,26.564,0.177,FW,3,full overhead light along logging road or in tree fall gap
338,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,4,EA,0.667,20.293,1.539,0.665,111,0.044,0.029,0.073,,0.002,0.015,0.017,0.09,6.764,21.682,0.244,FW,3,full overhead light along logging road or in tree fall gap
339,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,5,EA,0.667,23.096,2.545,0.709,124,0.052,0.038,0.09,,0.013,0.02,0.033,0.123,7.699,22.515,0.2,FW,3,full overhead light along logging road or in tree fall gap
340,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,6,EA,0.667,18.807,1.431,0.49,108,0.044,0.028,0.072,,0.004,0.015,0.019,0.091,6.269,23.395,0.282,FW,3,full overhead light along logging road or in tree fall gap
341,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,7,EA,0.667,12.931,2.602,0.636,126,0.034,0.044,0.078,,0.013,0.023,0.036,0.114,4.31,26.293,0.232,FW,3,full overhead light along logging road or in tree fall gap
342,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,8,EA,0.667,13.771,2.27,0.724,106,0.03,0.030,0.06,,0.001,0.011,0.012,0.072,4.59,21.784,0.199,FW,3,full overhead light along logging road or in tree fall gap
343,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,9,EA,0.667,61.143,3.205,1.15,125,0.192,0.122,0.314,,0.002,0.084,0.086,0.4,10.19,31.402,0.467,FW,3,full overhead light along logging road or in tree fall gap
344,La Chonta (MOIST),-15,-62,1580,25.3,Pourouma cecropiifolia,Urticaceae,10,EA,0.667,50.177,2.688,1.839,100,0.158,0.082,0.24,,0.019,0.072,0.091,0.331,8.363,31.489,0.364,FW,3,full overhead light along logging road or in tree fall gap
345,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,1,EA,0.667,345.758,18.096,12.946,110,0.946,0.221,1.167,,0.146,0.134,0.28,1.447,172.879,27.36,0.13,FW,3,full overhead light along logging road or in tree fall gap
346,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,2,EA,0.667,207.619,8.762,9.731,110,0.763,0.152,0.915,,0.203,,0.203,1.118,41.524,36.75,0.15,FW,3,full overhead light along logging road or in tree fall gap
347,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,3,EA,0.667,235.213,9.24,15.834,75,1.233,0.158,1.391,,0.277,,0.277,1.668,47.043,52.42,0.17,FW,3,full overhead light along logging road or in tree fall gap
348,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,4,EA,0.667,105.613,10.636,6.975,140,0.317,0.181,0.498,,0.166,,0.166,0.664,35.204,30.015,0.148,FW,3,full overhead light along logging road or in tree fall gap
349,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,5,EA,0.667,215.164,6.697,8.762,60,0.567,0.075,0.642,,0.069,,0.069,0.711,43.033,26.352,0.162,FW,3,full overhead light along logging road or in tree fall gap
350,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,6,EA,0.667,229.542,15.275,20.268,25,0.652,0.082,0.734,,0.144,0.116,0.26,0.994,32.792,28.404,0.185,FW,3,full overhead light along logging road or in tree fall gap
351,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,7,EA,0.667,132.821,8.042,9.676,25,0.512,0.092,0.604,,0.068,0.032,0.1,0.704,26.564,38.548,0.416,FW,3,full overhead light along logging road or in tree fall gap
352,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,8,EA,0.667,132.902,7.843,8.92,20,0.383,0.049,0.432,,0.068,0.04,0.108,0.54,18.986,28.818,0.293,FW,3,full overhead light along logging road or in tree fall gap
353,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,9,EA,0.667,64.685,4.486,6.56,10,0.138,0.019,0.157,,0.048,0.028,0.076,0.233,9.241,21.334,0.346,FW,3,full overhead light along logging road or in tree fall gap
354,La Chonta (MOIST),-15,-62,1580,25.3,Cecropia concolor,Urticaceae,10,EA,0.667,42.02,3.464,6.026,20,0.18,0.047,0.227,,0.025,0.042,0.067,0.294,10.505,42.837,0.501,FW,3,full overhead light along logging road or in tree fall gap
355,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,1,EA,0.667,113.042,4.449,1.72,119,0.155,0.055,0.21,,0.004,0.013,0.017,0.227,12.56,13.712,0.155,FW,3,full overhead light along logging road or in tree fall gap
356,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,2,EA,0.667,85.285,4.155,1.629,297,0.145,0.106,0.251,,0.011,0.019,0.03,0.281,10.661,17.002,0.128,FW,3,full overhead light along logging road or in tree fall gap
357,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,3,EA,0.667,68.424,7.022,1.839,196,0.156,0.128,0.284,,0.024,0.056,0.08,0.364,22.808,22.799,0.157,FW,3,full overhead light along logging road or in tree fall gap
358,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,4,EA,0.667,148.84,10.066,1.368,343,0.418,0.355,0.773,,0.049,0.084,0.133,0.906,24.807,28.084,0.205,FW,3,full overhead light along logging road or in tree fall gap
359,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,5,EA,0.667,56.105,1.815,1.606,161,0.144,0.056,0.2,,,,,0.2,8.015,25.666,0.203,FW,3,full overhead light along logging road or in tree fall gap
360,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,6,EA,0.667,29.805,0.968,0.419,121,0.067,0.026,0.093,,0.009,0.015,0.024,0.117,4.258,22.48,0.319,FW,3,full overhead light along logging road or in tree fall gap
361,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,7,EA,0.667,52.598,2.545,1.606,110,0.121,0.049,0.17,,0.01,0.039,0.049,0.219,13.149,23.005,0.216,FW,3,full overhead light along logging road or in tree fall gap
362,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,8,EA,0.667,69.655,5.107,1.72,116,0.191,0.100,0.291,,0.003,0.074,0.077,0.368,11.609,27.421,0.264,FW,3,full overhead light along logging road or in tree fall gap
363,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,9,EA,0.667,55.255,2.688,1.389,111,0.13,0.051,0.181,,0.029,0.03,0.059,0.24,9.209,23.527,0.229,FW,3,full overhead light along logging road or in tree fall gap
364,La Chonta (MOIST),-15,-62,1580,25.3,Heliocarpus americanus,Malvaceae - Tilioideae,10,EA,0.667,57.631,3.698,1.584,100,0.153,0.061,0.214,,0.015,0.022,0.037,0.251,9.605,26.548,0.238,FW,3,full overhead light along logging road or in tree fall gap
365,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,1,EA,0.667,57.576,4.6,4.449,162,0.142,0.219,0.361,,0.055,0.283,0.338,0.699,28.788,24.663,0.299,FW,3,full overhead light along logging road or in tree fall gap
366,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,2,EA,0.667,138.955,4.988,4.6,227,0.337,0.514,0.851,,0.11,0.518,0.628,1.479,69.478,24.252,0.472,FW,3,full overhead light along logging road or in tree fall gap
367,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,3,EA,0.667,146.844,13.461,5.557,302,0.307,0.610,0.917,,0.215,0.489,0.704,1.621,48.948,20.907,0.219,FW,3,full overhead light along logging road or in tree fall gap
368,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,4,EA,0.667,113.324,16.403,5.474,342,0.339,0.927,1.266,,0.166,0.588,0.754,2.02,22.665,29.914,0.259,FW,3,full overhead light along logging road or in tree fall gap
369,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,5,EA,0.667,17.817,5.474,4.524,110,0.048,0.100,0.148,,0.035,0.071,0.106,0.254,17.817,26.94,0.182,FW,3,full overhead light along logging road or in tree fall gap
370,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,6,EA,0.667,29.044,6.114,3.142,152,0.063,0.205,0.268,,0.032,0.202,0.234,0.502,29.044,21.691,0.297,FW,3,full overhead light along logging road or in tree fall gap
371,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,7,EA,0.667,65.871,8.194,6.335,168,0.175,0.278,0.453,,0.038,0.226,0.264,0.717,32.935,26.567,0.228,FW,3,full overhead light along logging road or in tree fall gap
372,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,8,EA,0.667,14.633,5.391,4.988,87,0.033,0.102,0.135,,0.036,0.136,0.172,0.307,14.633,22.552,0.226,FW,3,full overhead light along logging road or in tree fall gap
373,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,9,EA,0.667,25.044,4.524,2.573,84,0.078,0.095,0.173,,0.188,0.076,0.264,0.437,8.348,31.145,0.323,FW,3,full overhead light along logging road or in tree fall gap
374,La Chonta (MOIST),-15,-62,1580,25.3,Ficus boliviana,Moraceae,10,EA,0.667,31.207,2.659,2.011,102,0.108,0.092,0.2,,0.056,0.077,0.133,0.333,10.402,34.608,0.388,FW,3,full overhead light along logging road or in tree fall gap
375,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,1,EA,0.667,100.242,5.107,1.057,167,0.347,0.375,0.722,0.067,0.063,0.612,0.675,1.397,7.711,34.616,0.794,FW,3,full overhead light along logging road or in tree fall gap
376,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,2,EA,0.667,54.383,3.205,0.374,209,0.203,0.159,0.362,,0.05,0.084,0.134,0.496,6.798,37.328,0.488,FW,3,full overhead light along logging road or in tree fall gap
377,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,3,EA,0.667,117.53,8.245,0.608,213,0.509,0.333,0.842,,0.116,0.366,0.482,1.324,14.691,43.308,0.423,FW,3,full overhead light along logging road or in tree fall gap
378,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,4,EA,0.667,61.006,4.155,0.49,182,0.202,0.155,0.357,,0.028,0.098,0.126,0.483,8.715,33.112,0.421,FW,3,full overhead light along logging road or in tree fall gap
379,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,5,EA,0.667,111.112,4.87,0.554,232,0.404,0.285,0.689,,0.058,0.133,0.191,0.88,11.111,36.36,0.522,FW,3,full overhead light along logging road or in tree fall gap
380,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,6,EA,0.667,24.438,0.916,0.181,113,,,,,,,,,6.11,,,FW,3,full overhead light along logging road or in tree fall gap
381,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,7,EA,0.667,22.734,1.307,0.255,105,,,,,,,,,5.684,,,FW,3,full overhead light along logging road or in tree fall gap
382,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,8,EA,0.667,21.712,1.075,0.255,107,,,,,,,,,7.237,,,FW,3,full overhead light along logging road or in tree fall gap
383,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,9,EA,0.667,33.172,1.431,0.238,110,,,,,,,,,6.634,,,FW,3,full overhead light along logging road or in tree fall gap
384,La Chonta (MOIST),-15,-62,1580,25.3,Ampelocera ruizii,Ulmaceae,10,EA,0.667,19.206,1.094,0.075,94,,,,,,,,,4.802,,,FW,3,full overhead light along logging road or in tree fall gap
385,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,1,DA,0.667,190.079,43.709,5.641,237,0.463,0.846,1.309,,0.037,0.334,0.371,1.68,47.52,24.358,0.165,FW,3,full overhead light along logging road or in tree fall gap
386,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,2,DA,0.667,159.454,66.476,10.927,244,0.495,1.428,1.923,,0.139,0.757,0.896,2.819,53.151,31.043,0.168,FW,3,full overhead light along logging road or in tree fall gap
387,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,3,DA,0.667,141.506,52.296,8.194,255,0.358,1.077,1.435,,0.045,0.476,0.521,1.956,70.753,25.299,0.156,FW,3,full overhead light along logging road or in tree fall gap
388,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,4,DA,0.667,369.821,86.261,11.401,220,0.959,1.489,2.448,,0.172,1.003,1.175,3.623,73.964,25.931,0.157,FW,3,full overhead light along logging road or in tree fall gap
389,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,5,DA,0.667,379.178,104.593,8.143,320,0.854,2.636,3.49,,0.164,0.932,1.096,4.586,126.393,22.522,0.174,FW,3,full overhead light along logging road or in tree fall gap
390,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,6,DA,0.667,211.701,41.282,8.093,272,0.408,1.223,1.631,,0.051,0.543,0.594,2.225,105.85,19.272,0.199,FW,3,full overhead light along logging road or in tree fall gap
391,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,7,DA,0.667,420.957,84.622,11.163,382,0.844,2.855,3.699,,0.17,1.685,1.855,5.554,105.239,20.05,0.177,FW,3,full overhead light along logging road or in tree fall gap
392,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,8,DA,0.667,996.701,111.782,10.927,420,2.189,4.221,6.41,,0.406,2.626,3.032,9.442,142.386,21.962,0.191,FW,3,full overhead light along logging road or in tree fall gap
393,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,9,DA,0.667,204.744,49.141,12.007,239,0.404,1.394,1.798,,0.55,0.404,0.954,2.752,68.248,19.732,0.205,FW,3,full overhead light along logging road or in tree fall gap
394,La Chonta (MOIST),-15,-62,1580,25.3,Cavanillesia hylogeiton,Malvaceae - Bombacoideae,10,DA,0.667,326.121,99.225,8.973,314,0.728,2.840,3.568,,0.135,1.285,1.42,4.988,108.707,22.323,0.197,FW,3,full overhead light along logging road or in tree fall gap
395,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,1,DA,0.667,421.529,15.067,3.017,219,0.678,0.321,0.999,,0.066,0.224,0.29,1.289,42.153,16.084,0.177,FW,3,full overhead light along logging road or in tree fall gap
396,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,2,DA,0.667,113.834,6.789,1.911,174,0.168,0.140,0.308,,0.062,0.031,0.093,0.401,28.458,14.758,0.196,FW,3,full overhead light along logging road or in tree fall gap
397,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,3,DA,0.667,267.236,17.202,3.398,133,0.403,0.299,0.702,,0.029,0.4,0.429,1.131,44.539,15.08,0.239,FW,3,full overhead light along logging road or in tree fall gap
398,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,4,DA,0.667,212.519,11.824,2.351,136,0.406,0.207,0.613,0.014,0.063,0.261,0.324,0.937,35.42,19.104,0.235,FW,3,full overhead light along logging road or in tree fall gap
399,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,5,DA,0.667,447.889,24.895,5.515,187,1.009,0.404,1.413,,0.055,0.273,0.328,1.741,49.765,22.528,0.154,FW,3,full overhead light along logging road or in tree fall gap
400,La Chonta (MOIST),-15,-62,1580,25.3,Cedrela fissilis,Meliaceae,6,DA,0.667,133.059,28.748,9.186,172,0.43,0.563,0.993,,0.223,0.416,0.639,1.632,33.265,32.317,0.181,FW,3,full overhead light along logging road or in tree fall gap
401,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,1,EA,0.667,120.848,5.309,2.956,164,0.614,0.278,0.892,,0.032,0.168,0.2,1.092,17.264,50.808,0.416,FW,3,full overhead light along logging road or in tree fall gap
402,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,2,EA,0.667,27.978,1.287,0.503,81,0.11,0.067,0.177,,0.005,0.036,0.041,0.218,4.663,39.317,0.956,FW,3,full overhead light along logging road or in tree fall gap
403,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,3,EA,0.667,73.383,3.079,0.665,107,0.371,0.156,0.527,,0.011,0.155,0.166,0.693,7.338,50.557,0.845,FW,3,full overhead light along logging road or in tree fall gap
404,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,4,EA,0.667,16.05,0.478,1.307,74,0.067,0.042,0.109,,0.002,0.028,0.03,0.139,4.013,41.743,0.661,FW,3,full overhead light along logging road or in tree fall gap
405,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,5,EA,0.667,13.478,0.594,0.77,74,0.051,0.038,0.089,,0.008,0.025,0.033,0.122,6.739,37.839,0.755,FW,3,full overhead light along logging road or in tree fall gap
406,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,6,EA,0.667,41.892,1.517,0.554,119,0.173,0.130,0.303,,0.003,0.045,0.048,0.351,10.473,41.297,1.097,FW,3,full overhead light along logging road or in tree fall gap
407,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,7,EA,0.667,27.851,1.094,1.131,74,0.128,0.056,0.184,,0.006,0.027,0.033,0.217,4.642,45.959,0.68,FW,3,full overhead light along logging road or in tree fall gap
408,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,8,EA,0.667,10.36,0.478,0.264,61,0.038,0.022,0.06,,0.009,0.007,0.016,0.076,2.072,36.678,0.986,FW,3,full overhead light along logging road or in tree fall gap
409,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,9,EA,0.667,29.19,1.247,0.636,77,0.142,0.071,0.213,,0.013,0.039,0.052,0.265,4.17,48.646,0.997,FW,3,full overhead light along logging road or in tree fall gap
410,La Chonta (MOIST),-15,-62,1580,25.3,Alibertia verrucosa,Rubiaceae,10,EA,0.667,16.481,0.694,0.739,82,0.067,0.043,0.11,,0.002,0.029,0.031,0.141,5.494,40.653,0.732,FW,3,full overhead light along logging road or in tree fall gap
411,La Chonta (MOIST),-15,-62,1580,25.3,Pouteria nemorosa,Sapotaceae,1,EA,0.667,41.972,6.114,3.11,251,0.158,0.204,0.362,,0.009,0.221,0.23,0.592,10.493,37.644,0.179,FW,3,full overhead light along logging road or in tree fall gap
412,La Chonta (MOIST),-15,-62,1580,25.3,Pouteria nemorosa,Sapotaceae,2,EA,0.667,18.983,5.768,0.273,151,0.066,0.143,0.209,,0.012,0.275,0.287,0.496,6.328,34.768,0.389,FW,3,full overhead light along logging road or in tree fall gap
413,La Chonta (MOIST),-15,-62,1580,25.3,Pouteria nemorosa,Sapotaceae,3,EA,0.667,319.655,10.521,1.057,346,,,,,,,,,31.965,,,FW,3,full overhead light along logging road or in tree fall gap
