,,,cm,m,m,m2,g,g,g,m2,cm2,cm,cm2/g,g/m2,m2/m2,,,,mm,,,,,,,,
Source,species,Tree.No.,DBH,Height,Crown.depth,Crown.Projection.Area,Stem.mass,Total.leaf.mass,Individual.leaf.mass,Total.leaf.area,Individual.leaf.area,Stem.diameter.at.10.percent.Height,SLA,LMA,LAI,light.ISF,light.DSF,light.GSF,D0,pft,growingCondition,location,latitude,longitude,vegetation,map,mat
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,38,,64,2,0.111447999,5.549214294,1.201748379,0.17167834,589.428967,84.20413814,0.509901951,490.4761906,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,39,,111,6,0.125349547,9.574117374,2.067696736,0.258462092,684.138819,85.51735237,0.514975728,330.87,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,40,,68,9,0.057176986,5.992764603,2.277131852,0.227713185,735.1037045,73.51037045,0.514975728,322.82,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,41,,67,2,0.022462387,6.017068122,0.369425048,0.184712524,107.0298248,53.51491238,0.519903837,289.7199997,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,42,,84,10,0.101159283,7.469271311,1.503988211,0.113654231,440.8791041,33.3166014,0.519903837,293.14,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,43,,91,4,0.112154858,8.063327226,1.961503212,0.217944801,541.2688592,60.14098436,0.519903837,275.9459459,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,44,,69,1,0.050579642,6.190874705,0.670254972,0.134050994,140.1442214,28.02884429,0.52,209.0909091,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,45,,93,4,0.079717914,8.381135681,2.103785809,0.262973226,520.6869878,65.08587348,0.524785671,247.5,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,46,,107,5,0.107206849,9.590286707,1.696730278,0.212091285,552.0820978,69.01026222,0.52497619,325.38,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,47,,86,10,0.090477868,7.782367409,1.928806271,0.241100784,514.8755461,64.35944326,0.52497619,266.9400001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,48,,79,6,0.131946891,7.563476061,2.167538879,0.27094236,639.4239693,79.92799616,0.539629503,295,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,49,,82,10,0.063617251,8.264524144,,,,,0.55479726,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,50,,79,11,0.088828532,8.118825599,3.245615762,0.360623974,616.6669948,68.51855498,0.56,190,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,51,,58,2,0.017907078,,,,,,0.563914887,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,52,,108,5,0.159043128,11.13468102,2.206810284,0.245201143,715.5582345,79.5064705,0.564977876,324.25,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,53,,116,2,0.085215701,11.92201354,1.213785129,0.151723141,355.8991396,44.48739246,0.564977876,293.2142857,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,54,,117,6,0.191322993,12.40882002,2.806560153,0.311840017,979.3725534,108.8191726,0.574456265,348.9583333,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,55,,91,3,0.155508836,9.775336913,3.238763848,0.35986265,804.5089399,89.38988221,0.57497826,248.4,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
