age,h.t,h.c,a.st,a.sh,a.ss,m.rt,m.st,a.cp,m.br,m.f,a.cs,pft,species,growingCondition,fertilized
11,5.43,4.81,0.011122014,0,0.008992016,0,13.447,3.397943744,9.066,6.451,26.37969891,EG,Pinus sylvestris,PM,yes

12,6.58,4.68,0.013684766,0,0.011882279,0,19.229,7.354148031,10.326,7.03,40.22139581,EG,Pinus sylvestris,PM,yes

10,4.85,4.46,0.003631678,0,0.002922464,0,4.601,2.659041776,2.352,2.024,21.52857355,EG,Pinus sylvestris,PM,no

11,5.57,4.85,0.005026544,0,0.004300837,0,7.467,4.082810364,4.354,3.389,29.44744544,EG,Pinus sylvestris,PM,no

12,6.8,5.27,0.010568309,0,0.008741671,0,14.761,7.163139359,8.298,5.235,43.62897473,EG,Pinus sylvestris,PM,no

12,5.79,4.11,0.008171276,0,0.006866141,0,12.116,4.830508784,6.101,3.841,28.19355664,EG,Pinus sylvestris,PM,no

11,5.24,3.89,0.012271836,0,0.009764258,0,13.012,4.5238896,6.289,5.61,25.92881151,EG,Pinus sylvestris,PM,no

11,6.11,5.66,0.014526712,0,0.012271836,0,21.235,6.514401024,16.359,12.088,43.87195917,EG,Pinus sylvestris,PM,no

131,17.32,5.2,0.025872761,0.006647604,0.016858557,0,104.305,4.675942556,9.508,3.744,33.78021625,EG,Pinus sylvestris,PM,no

143,21.28,4.64,0.031888906,0.014313869,0.011988307,0,157.421,2.0106176,4.674,4.3,19.1623668,EG,Pinus sylvestris,PM,no

130,18.73,5.65,0.033653497,0.00636172,0.020373407,0,143.634,4.675942556,10.381,5.065,36.34422729,EG,Pinus sylvestris,PM,no

129,22.92,7.63,0.041547528,0.014313869,0.022160187,0,225.302,3.940810496,12.656,5.525,43.62816482,EG,Pinus sylvestris,PM,no

132,22.39,6.09,0.046759426,0.019113434,0.020294671,0,227.018,2.835284975,9.161,3.048,29.65097474,EG,Pinus sylvestris,PM,no

139,21.71,5.94,0.038013239,0.010751306,0.02273981,0,206.414,4.908734375,11.805,5.222,39.03936485,EG,Pinus sylvestris,PM,no

142,24.04,10.52,0.07186878,0.016512982,0.043532424,0,335.961,5.810684864,28.044,11.378,72.54114654,EG,Pinus sylvestris,PM,no

142,20.64,6.86,0.069046061,0.032365446,0.021753351,0,298.035,6.514401024,25.661,11.175,51.92505925,EG,Pinus sylvestris,PM,no

129,25.55,8.97,0.061575164,0.025164921,0.027520328,0,344.21,5.391282599,24.972,9.022,59.97293142,EG,Pinus sylvestris,PM,no

134,21.08,9.78,0.073301345,0.028952893,0.031745767,0,392.593,6.881338736,34.38,11.543,74.03588971,EG,Pinus sylvestris,PM,no

137,24.11,8.46,0.089196809,0.023506162,0.055417648,0,441.748,8.244788796,44.091,11.377,71.38559426,EG,Pinus sylvestris,PM,no

133,25.18,9.18,0.081433154,0.026880229,0.04522633,0,437.333,7.163139359,32.988,8.674,71.30489733,EG,Pinus sylvestris,PM,no

142,24.1,8.74,0.106361671,0.036643506,0.057381141,0,557.04,5.147181056,43.048,16.026,57.10655547,EG,Pinus sylvestris,PM,no

132,25.54,11.74,0.107811711,0.051070472,0.043498455,0,570.629,5.725547775,65.926,17.594,79.94423532,EG,Pinus sylvestris,PM,no

121,25.2,10.15,0.1256636,0.05853489,0.050443922,0,710.286,7.450594844,78.54,15.183,79.96507448,EG,Pinus sylvestris,PM,no

