contributor,family,species,age (months),total height (cm),stem diameter at base (mm),leaf area (cm2),total leaf mass (g),total root mass (g),stem mass (g),Single leaf area (cm2),lma (g cm-2),Plant functional type,Growing condition,Status,Light,Other notes about growing conditions,Location,Lat,Long,Vegetation,map,mat,reference
Baltzer 2007,Fagaceae,QR,6,9.3,3.48,88.76,0.5966,3.8261,0.4915,25.07,0.0068,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 686
Baltzer 2007,Fagaceae,QR,6,9.8,3.76,127.2,0.7729,3.847,0.3671,46.8,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 687
Baltzer 2007,Fagaceae,QR,6,12.7,3.19,146.65,0.8549,6.7997,0.208,45.06,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 688
Baltzer 2007,Fagaceae,QR,6,10,4.27,131.77,0.911,4.3848,0.4376,20.56,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 689
Baltzer 2007,Fagaceae,QR,6,9.3,3.77,159.54,0.9713,6.2901,0.4023,39.91,0.006,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 690
Baltzer 2007,Fagaceae,QR,6,9.6,3.53,98.78,0.6761,4.0731,0.2898,14.49,0.006,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 691
Baltzer 2007,Fagaceae,QR,6,10.4,3.27,78.52,0.4958,3.7168,0.2873,22.65,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 692
Baltzer 2007,Fagaceae,QR,6,9.8,3,87.97,0.644,3.9784,0.3432,24.03,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 693
Baltzer 2007,Fagaceae,QR,6,6.5,1.63,59.16,0.3497,2.3284,0.1448,8.66,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 694
Baltzer 2007,Fagaceae,QR,6,8.8,3.33,92.74,0.6064,4.3478,0.2153,22.95,0.0066,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 695
Baltzer 2007,Fagaceae,QR,6,9.2,3.6,94.95,0.6622,4.6681,0.2737,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 696
Baltzer 2007,Fagaceae,QR,6,9.4,4.16,120.93,0.7604,6.7698,0.3642,27.24,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 697
Baltzer 2007,Fagaceae,QR,6,7.7,3.51,98.06,0.6334,4.409,0.2728,26.88,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 698
Baltzer 2007,Fagaceae,QR,6,11.2,2.99,96.09,0.4318,1.2755,0.2675,24.25,0.0043,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 699
Baltzer 2007,Fagaceae,QR,6,6.8,1.86,26.55,0.111,0.1583,0.0462,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 700
Baltzer 2007,Fagaceae,QR,6,13.9,3.34,168.76,0.741,2.364,0.4343,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 701
Baltzer 2007,Fagaceae,QR,6,13.5,4.49,225.32,1.0569,2.873,0.5002,43.19,0.0046,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 702
Baltzer 2007,Fagaceae,QR,6,9.3,5.78,103.42,0.379,1.4598,0.3929,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 703
Baltzer 2007,Fagaceae,QR,6,9.2,2.7,137.15,0.539,1.0758,0.4651,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 704
Baltzer 2007,Fagaceae,QR,6,9.7,3.31,147.6,0.581,1.2682,0.26,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 705
Baltzer 2007,Fagaceae,QR,6,6.8,4.43,147.82,0.5607,1.3132,0.1864,21.89,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 706
Baltzer 2007,Fagaceae,QR,6,13.9,3.16,150.04,0.5585,0.9528,0.3017,26.55,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 707
Baltzer 2007,Fagaceae,QR,6,11.9,3.81,165.27,0.6746,1.784,0.3716,45.96,0.0041,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 708
Baltzer 2007,Fagaceae,QR,6,12.9,3.88,118.45,0.5112,1.6484,0.2853,39.03,0.0042,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 709
Baltzer 2007,Fagaceae,QR,6,8.8,5.27,152.25,0.544,1.022,0.282,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 710
Baltzer 2007,Fagaceae,QR,6,15.7,4.07,239.11,1.077,3.9693,0.0586,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 711
Baltzer 2007,Fagaceae,QR,6,13.6,2.63,105,0.416,1.7766,0.232,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 712
Baltzer 2007,Fagaceae,QR,6,11.7,3.89,174.83,0.6589,1.482,0.3254,34.29,0.0038,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 713
Baltzer 2007,Fagaceae,QR,6,14.7,3.9,178.19,0.6948,1.4907,0.4108,62.29,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 714
Baltzer 2007,Fagaceae,QR,6,12.5,3.36,108.11,0.4738,1.2685,0.3278,30.31,0.0044,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 715
Baltzer 2007,Fagaceae,QR,6,11.1,2.5,100.86,0.381,0.9201,0.175,26.12,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 716
Baltzer 2007,Fagaceae,QR,6,14.3,4.59,98.96,0.3938,1.1303,0.3494,24.32,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 717
Baltzer 2007,Ulmaceae,UA,6,3.3,1.38,1.94,0.0106,0.0608,0.0234,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 718
Baltzer 2007,Ulmaceae,UA,6,4.7,1.13,2.24,0.011,0.0579,0.0233,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 719
Baltzer 2007,Ulmaceae,UA,6,5,1.49,5.75,0.023,0.0547,0.0198,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 720
Baltzer 2007,Ulmaceae,UA,6,5.1,1.11,7.1,0.034,0.0438,0.0144,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 721
Baltzer 2007,Ulmaceae,UA,6,5.2,1.56,20.62,0.0239,0.0136,0.0163,4.17,0.0056,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 722
Baltzer 2007,Ulmaceae,UA,6,5.5,1.15,5.96,0.0382,0.0646,0.0188,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 723
Baltzer 2007,Ulmaceae,UA,6,5.5,1.15,5.96,0.0382,0.0646,0.0188,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 724
Baltzer 2007,Ulmaceae,UA,6,2.5,1.01,3.03,0.0144,0.0525,0.0111,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 725
Baltzer 2007,Ulmaceae,UA,6,6,1.92,13.05,0.0666,0.129,0.04,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 726
Baltzer 2007,Ulmaceae,UA,6,4.3,1.81,,0.0316,0.1267,0.0438,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 727
Baltzer 2007,Ulmaceae,UA,6,4.2,1.63,9.05,0.0394,0.083,0.0306,1.65,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 728
Baltzer 2007,Ulmaceae,UA,6,3.7,1.37,1.89,0.0084,0.0233,0.006,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 729
Baltzer 2007,Ulmaceae,UA,6,2,1.04,3.12,0.017,0.0651,0.0221,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 730
Baltzer 2007,Ulmaceae,UA,6,4.9,1.78,5.25,0.0371,0.2296,0.0177,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 731
Baltzer 2007,Ulmaceae,UA,6,4.1,1.6,7.14,0.0151,0.0876,0.0349,1.96,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 732
Baltzer 2007,Ulmaceae,UA,6,5.1,1.19,10.29,0.0556,0.0183,0.0151,2.08,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 733
Baltzer 2007,Ulmaceae,UA,6,5.4,1.31,19.38,0.0851,0.1437,0.0332,5.17,0.0044,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 734
Baltzer 2007,Ulmaceae,UA,6,4.6,0.99,7.76,0.0332,0.0828,0.0183,3.17,0.0047,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 735
Baltzer 2007,Ulmaceae,UA,6,4.8,1.19,17.22,0.0473,0.0602,0.0194,3.36,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 736
Baltzer 2007,Ulmaceae,UA,6,51.2,5.21,250.36,1.271,2.026,1.701,18.25,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 737
Baltzer 2007,Ulmaceae,UA,6,11.1,2.37,62.28,0.1931,0.1808,0.0685,12.07,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 738
Baltzer 2007,Ulmaceae,UA,6,8.3,2.16,17.69,0.1087,0.1999,0.0847,4.29,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 739
Baltzer 2007,Ulmaceae,UA,6,46.8,8.53,374.14,1.9235,3.1977,2.869,40.33,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 740
Baltzer 2007,Ulmaceae,UA,6,13.2,3.59,59.27,0.3813,0.48,0.287,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 741
Baltzer 2007,Ulmaceae,UA,6,8.9,4.35,18.74,0.1222,0.4154,0.1891,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 742
Baltzer 2007,Ulmaceae,UA,6,41,5.79,442.7,2.0125,2.6275,1.494,28.01,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 743
Baltzer 2007,Ulmaceae,UA,6,31.4,4.98,575.54,2.6774,1.672,1.2816,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 744
Baltzer 2007,Ulmaceae,UA,6,6.3,1.35,7.99,0.0307,0.0629,0.0378,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 745
Baltzer 2007,Ulmaceae,UA,6,4.3,1.41,1.56,0.0072,0.0374,0.0108,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 746
Baltzer 2007,Ulmaceae,UA,6,11.2,1.89,89.64,0.2879,0.1951,0.1561,12.45,0.0029,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 747
Baltzer 2007,Ulmaceae,UA,6,5.9,1.29,80.48,0.301,0.1919,0.1195,13.03,0.0031,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 748
Baltzer 2007,Ulmaceae,UA,6,34.4,5.42,250.68,1.2863,1.9862,1.0482,17.01,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 749
Baltzer 2007,Ulmaceae,UA,6,4.9,1.26,0.53,0.0009,0.0312,0.0198,0.4,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 750
Baltzer 2007,Ulmaceae,UA,6,4.5,1.51,18.1,0.1185,0.0795,0.0282,2.06,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 751
Baltzer 2007,Ulmaceae,UA,6,11.9,2.86,85.59,0.4261,0.3389,0.2242,7.78,0.006,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 752
Baltzer 2007,Ulmaceae,UA,6,6.5,1.53,12.22,0.0356,0.0642,0.0374,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 753
Baltzer 2007,Ulmaceae,UA,6,4.7,1.28,8.75,0.0259,0.0837,0.0288,3.27,0.0029,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 754
Baltzer 2007,Ulmaceae,UA,6,4.5,1.22,4.64,0.013,0.06,0.0213,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 755
Baltzer 2007,Ulmaceae,UA,6,4.8,1.67,9.61,0.026,0.0888,0.0257,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 756
Baltzer 2007,Ulmaceae,UA,6,5.2,2.14,12.19,0.0299,0.0751,0.0317,7.79,0.0029,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 757
Baltzer 2007,Ulmaceae,UA,6,3.8,0.74,3.48,0.0021,0.013,0.0066,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 758
Baltzer 2007,Ulmaceae,UA,6,4.9,1.26,3.3,0.0079,0.0377,0.0263,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 759
Baltzer 2007,Ulmaceae,UA,6,4.9,1.5,5.55,0.0137,0.0439,0.0192,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 760
Baltzer 2007,Ulmaceae,UA,6,8.7,1.42,15.11,0.031,0.0474,0.0338,1.9,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 761
Baltzer 2007,Ulmaceae,UA,6,6.2,1.25,16.25,0.0368,0.0821,0.0367,3.9,0.0025,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 762
Baltzer 2007,Ulmaceae,UA,6,4.4,0.34,5.82,0.0073,0.0096,0.0066,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 763
Baltzer 2007,Ulmaceae,UA,6,6.5,1.01,17.34,0.0356,0.0407,0.0322,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 764
Baltzer 2007,Ulmaceae,UA,6,5.7,1.39,10.08,0.025,0.0948,0.0333,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 765
Baltzer 2007,Ulmaceae,UA,6,5.8,0.84,7.15,0.0188,0.0431,0.0142,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 766
Baltzer 2007,Ulmaceae,UA,6,5.8,0.91,3.72,0.0093,0.0166,0.013,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 767
Baltzer 2007,Ulmaceae,UA,6,5.1,0.95,0.35,0.0002,0.0009,0.004,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 768
Baltzer 2007,Ulmaceae,UA,6,5.1,0.95,4.26,0.0109,0.0144,0.0167,1.3,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 769
Baltzer 2007,Ulmaceae,UA,6,10.7,1.48,34.32,0.0683,0.0242,0.0136,6.5,0.002,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 770
Baltzer 2007,Ulmaceae,UA,6,5.2,1.31,13.26,0.0302,0.0579,0.0253,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 771
Baltzer 2007,Ulmaceae,UA,6,3.2,1.31,,0.0081,0.0828,0.0691,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 772
Baltzer 2007,Ulmaceae,UA,6,4.7,0.82,4.73,0.0096,0.02,0.0112,1.39,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 773
Baltzer 2007,Ulmaceae,UA,6,7.1,1.22,8.42,0.0201,0.0441,0.0255,2.055949691,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 774
Baltzer 2007,Ulmaceae,UA,6,4.6,0.9,3.75,0.0065,0.008,0.0085,0.95,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 775
Baltzer 2007,Ulmaceae,UA,6,5.7,1.14,12.78,0.0209,0.0195,0.0158,3.02,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 776
Baltzer 2007,Ulmaceae,UA,6,5.4,1.1,5.74,0.0115,0.0085,0.0108,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 777
Baltzer 2007,Ulmaceae,UA,6,4,0.88,3.31,0.0078,0.0151,0.0123,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 778
Baltzer 2007,Ulmaceae,UA,6,5.7,1.27,5.32,0.0113,0.0142,0.0165,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 779
Baltzer 2007,Ulmaceae,UA,6,5.2,1.07,71.08,0.0077,0.1816,0.0923,12.3,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 780
Baltzer 2007,Ulmaceae,UA,6,8.9,1.76,,0.1383,0.0245,0.0135,,0.0017,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 781
Baltzer 2007,Ulmaceae,UA,6,5.9,1.09,12.98,0.0265,0.0215,0.0234,2.59,0.002,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 782
Baltzer 2007,Ulmaceae,UA,6,6.3,0.83,11.82,0.026,0.0199,0.0191,2.33,0.0019,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 783
Baltzer 2007,Ulmaceae,UA,6,6.1,1.22,10.22,0.0215,0.0305,0.0235,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 784
Baltzer 2007,Ulmaceae,UA,6,5.7,1.77,15.27,0.0371,0.0581,0.0346,3.12,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 785
Baltzer 2007,Ulmaceae,UA,6,2.2,0.49,2.35,0.0043,0.0031,0.004,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 786
Baltzer 2007,Ulmaceae,UA,6,4,0.99,3.19,0.0096,0.0175,0.0132,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 787
Baltzer 2007,Ulmaceae,UA,6,5.6,1.46,9.87,0.032,0.0773,0.0315,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 788
Baltzer 2007,Ulmaceae,UA,6,4.9,0.89,6.03,0.0217,0.0225,0.0145,1.18,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 789
Baltzer 2007,Ulmaceae,UA,6,6.4,0.103,8.18,0.0215,0.0368,0.0193,2.04,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 790
Baltzer 2007,Ulmaceae,UA,6,4,1.31,5.84,0.0179,0.0332,0.0241,1.67,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 791
Baltzer 2007,Ulmaceae,UA,6,4.9,0.89,,0.0217,0.0225,0.0145,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 792
Baltzer 2007,Ulmaceae,UA,6,6.4,0.103,,0.0215,0.0368,0.0193,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 793
Baltzer 2007,Ulmaceae,UA,6,4,1.31,,0.0179,0.0332,0.0241,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 794
