Spp Abbrev,species,site,latitude,longitude,map,class,DBH,AGB,Ht,source,CD,BD,crown height,height below branch,volume,biomass wood,biomass bark,biomass branch,biomass leaf,leaf area,Sample,Soil
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,8.5,22.44,10.6,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,13.1,60.83,9.3,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,17.4,109.97,13.7,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,15.5,121.37,11.8,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,17.3,100.38,12.2,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,13.7,59.52,10,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,6,8.81,5.4,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,7.7,15.33,7.7,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,Katherine,-14,132,950,11,10.6,50.26,12.5,L,,,,,,,,,,,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,8,18.1,6.7,L,6.8,10.2,3.7,3,0.01913,8.15,2.51,6.44,1,8.7,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,10.5,42.16,6.8,L,11,13.2,5,1.8,0.03075,16.46,5.05,18.47,2.18,19,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,10.2,35.99,8,L,12.1,16,6.2,1.8,0.04023,20.7,6.36,6.64,2.29,20,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,4.6,3.17,3.6,L,4,7.3,1.6,2,0.00525,1.97,0.6,0.35,0.25,2.2,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,16.7,136.62,9.4,L,18,21.8,7.4,2,0.10146,62.62,19.24,50.74,4.02,35.1,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,10.2,22.53,7.2,L,6.6,16,3.2,4,0.03522,12.11,3.72,5.59,1.11,9.7,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,8.5,22.5,7,L,9,18,3.8,3.2,0.03539,11.27,3.46,6.33,1.44,12.6,,
Tferd,Terminalia ferdinandiana,humptydoo,-12,131,1600,12,6,7.82,5.6,L,5.5,10.5,3.1,2.5,0.01191,4.89,1.5,1.09,0.34,3,,
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,6.15,17.7108315,6.5,W,,,,,,13.49909966,,3.311731844,0.9,,EF1,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,13.9,79.16485239,10.1,W,,,,,,34.53320864,,35.66454375,6.84,,EF2,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,7.9,24.80063535,8.25,W,,,,,,14.35442078,,6.674114563,3.12,,EF3,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,12.1,65.3804235,8.9,W,,,,,,27.60727999,,31.91471852,5.858425,,EF4,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,32.8,708.6070785,14.9,W,,,,,,276.9118432,,402.8125099,28.88272535,,EF5,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,24.4,366.6874032,12.2,W,,,,,,129.3838615,,222.1539917,15.14955,,EF6,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,15.5,129.0315918,10.7,W,,,,,,46.93333333,,79.51651515,2.581743273,,EF7,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,29.9,342.122646,9.8,W,,,,,,74.00686275,,242.7830115,25.33277174,,EF8,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,6.2,8.777010864,4.85,W,,,,,,4.936670545,,2.505007339,1.33533298,,EF9,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,16.1,132.5561529,8.6,W,,,,,,43.98719934,,9.408055573,7.602739274,,EF10,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,8.5,23.41987676,7.55,W,,,,,,10.00233218,,11.05892401,2.358620576,,EF11,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,4.3,5.190221308,4.54,W,,,,,,2.275117017,,2.643953069,0.271151222,,EF12,Red loam
Efoel,Eucalyptus foelscheana,Katherine,-14,132,950,13,17.3,113.2652179,9.8,W,,,,,,47.95314689,,59.20162359,6.110447436,,EF13,Red loam
