No.,ht1 (cm),ht2 (cm),Delta t (days),Wood1 (g),Delta wood (g),Leaf1 (g),Delta leaf (g),Leaf area1 (cm2),Leaf area2 (cm2),Area/leaf (cm2),ISF,Wood2 (g),Leaf2 (g),species
18,115,125.6,329,18.5,5.13,14.01,4.07,2130,2550,155,0.0165,23.63,16.77253521,Calophyllum
19,117.6,130.6,329,21.47,6.56,19.19,5.67,2510,3250,185,0.0245,28.03,24.84760956,Calophyllum
16,169.5,257.2,330,63.93,86.28,48.82,40.75,3650,6520,305,0.1842,150.21,87.20723288,Calophyllum
20b,168,169.9,332,58.72,0.775,17.46,2.68,2150,1660,165,0.0204,59.495,13.48074419,Calophyllum
26,106,123.3,342,14.69,8.21,8.4,4.44,1670,880,60,0.0396,22.9,4.426347305,Alseis
2,211.5,248.8,340,93.24,28.17,15.01,17.4,4670,3920,155,0.0449,121.41,12.59940043,Alseis
4,106.5,131.9,340,19.35,15.59,7.12,14.57,1880,2270,132,0.0821,34.94,8.597021277,Alseis
5,135,140.4,340,24.82,1.48,5.11,3.74,2140,1570,157,0.0456,26.3,3.748925234,Alseis
6,153.5,156.8,340,48.15,-0.165,5.97,3.74,2500,1730,173,0.0211,47.985,4.13124,Alseis
7,154,156.3,342,27.47,2.3,1.83,2.6,758,1080,134,0.0353,29.77,2.607387863,Alseis
8,108.4,109.4,348,15.05,-0.01,2.8,1.62,1100,636,,0.0403,15.04,1.618909091,Alseis
10,114.3,116.2,341,16.83,0.23,2.83,1.57,1170,650,81.5,0.0357,17.06,1.572222222,Alseis
11,121.5,123.9,341,23.25,0.24,2.77,1.46,1370,722,90.2,0.0254,23.49,1.459810219,Alseis
A3.7,186.5,190.9,341,74.46,2.34,7.67,8.18,2250,1710,190,0.0704,76.8,5.8292,Alseis
12,135,188,294,45.12,92.36,18.38,53.85,3240,7280,69,0.2522,137.48,41.2982716,Alseis
