Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
431,Myristicaceae,Knema,Knema_ashiton,canopy,5.3,6.6,9.14,6.09,3.05,5.07,12.14989286,0.554704595
704,Myristicaceae,Knema,Knema_ashiton,canopy,6,7.2,9.18,4.08,5.1,,,
487,Myristicaceae,Knema,Knema_ashiton,canopy,6.1,7.2,9.24,3.85,5.39,5.62,23.8007,0.608225108
293,Myristicaceae,Knema,Knema_ashiton,canopy,10,10.8,9.94,6.6234,3.3166,3.335,8.6906765,0.335513078
1007,Myristicaceae,Knema,Knema_ashiton,canopy,10.8,11.4,10.5,7.56,2.94,4.575,10.56825,0.435714286
841,Myristicaceae,Knema,Knema_ashiton,canopy,5.5,7,11.08,8.2745,2.8055,3.72,8.200075714,0.335740072
844,Myristicaceae,Knema,Knema_ashiton,canopy,5.4,7.5,11.21,8.8476,2.3624,4.695,8.714724857,0.41882248
302,Myristicaceae,Knema,Knema_ashiton,canopy,6.2,10.3,11.52,8.174,3.346,2.66,6.99314,0.230902778
123,Myristicaceae,Knema,Knema_ashiton,canopy,7.5,9,11.72,7.7865,3.9335,4.725,14.60311875,0.403156997
776,Myristicaceae,Knema,Knema_ashiton,canopy,6.1,9.2,11.88,10.2016,1.6784,9.225,12.16540286,0.776515152
536,Myristicaceae,Knema,Knema_ashiton,canopy,5.7,7.2,11.92,6.12,5.8,3.9,17.77285714,0.327181208
525,Myristicaceae,Knema,Knema_ashiton,canopy,8.6,10,12.38,7.4655,4.9145,5.145,19.86686625,0.415589661
917,Myristicaceae,Knema,Knema_ashiton,canopy,9.2,10.5,12.92,7.8621,5.0579,5.02,19.94980271,0.388544892
172,Myristicaceae,Knema,Knema_ashiton,canopy,12.7,14.1,13.87,7.225,6.645,6,31.32642857,0.43258832
539,Myristicaceae,Knema,Knema_ashiton,canopy,16.7,17.3,15.29,9.88,5.41,6.27,26.65197857,0.410071942
44,Myristicaceae,Knema,Knema_ashiton,canopy,8.3,10.5,15.49,7.623,7.867,7.04,43.51574857,0.454486766
808,Myristicaceae,Knema,Knema_ashiton,canopy,10.8,13.6,15.58,10.689,4.891,5.555,21.34746821,0.356546855
7,Myristicaceae,Knema,Knema_ashiton,canopy,12.5,13.6,15.59,14.885,0.705,6.365,3.525755357,0.408274535
575,Myristicaceae,Knema,Knema_ashiton,canopy,22.6,23.8,16.02,12.282,3.738,6.875,20.191875,0.429151061
563,Myristicaceae,Knema,Knema_ashiton,canopy,9.2,10.5,16.1,11.684,4.416,4.15,14.39931429,0.257763975
102,Myristicaceae,Knema,Knema_ashiton,canopy,9.8,14.6,16.39,13.0824,3.3076,6.37,16.554538,0.388651617
216,Myristicaceae,Knema,Knema_ashiton,canopy,16.5,18.2,17.39,9.802,7.588,4.705,28.05121,0.270557792
965,Myristicaceae,Knema,Knema_ashiton,canopy,11.4,12.1,17.58,15.516,2.064,3.965,6.430097143,0.225540387
401,Myristicaceae,Knema,Knema_ashiton,canopy,13.8,15.1,18.63,12.9402,5.6898,7.725,34.53505393,0.414653784
147,Myristicaceae,Knema,Knema_ashiton,canopy,18.4,20.9,19.54,12.8815,6.6585,7.935,41.51336946,0.406090072
791,Myristicaceae,Knema,Knema_ashiton,canopy,27.7,29.7,19.86,11.0885,8.7715,8.42,58.02973786,0.423967774
388,Myristicaceae,Knema,Knema_ashiton,canopy,17.8,18,21.11,12.0075,9.1025,6.01,42.98330536,0.284699195
490,Myristicaceae,Knema,Knema_ashiton,canopy,16.3,17.1,21.89,15.84,6.05,3.575,16.99401786,0.163316583
