dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,a.cp,h.t,h.c,d.ba,d.bh,c.d,m.lf,m.st,m.so,m.br,growingCondition
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,24.73218774,12.6,9.8,18.1,14.4,2.8,4.556078266,55.69379509,60.24987335,11.72936749,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Casearia sylvestris,,,4.7123889,8.6,6.6,9.1,7,2,0.912712088,16.73623127,17.64894335,5.753537597,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cochlospermum vitifolium,,,5.529202976,9.6,8.4,10,7.1,1.2,0.229168832,4.835149937,5.064318769,0.307369085,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trichospermum galeottii,,,11.93805188,10.4,9.3,18.7,15,1.1,0.344983907,23.08962215,23.43460606,1.166620081,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trichospermum galeottii,,,37.91902268,12.65,9.8,23.2,19.7,2.85,2.360721258,74.53591498,76.89663624,13.555882,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Thevetia ahouai,,,5.18362779,7.8,6.2,7,5.2,1.6,0.311824723,4.810577793,5.122402516,1.101196279,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Casearia sylvestris,,,12.95906948,6,1.6,5.6,4.2,4.4,0.476740775,3.000226789,3.476967564,0.85053085,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania scrobiculata,,,2.945243063,9.3,7.2,5.8,5,2.1,0.798780542,5.307282768,6.10606331,0.0646371,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cupania cinerea,,,17.1530956,12.9,8.9,16.7,13,4,8.368071805,56.01301993,64.38109174,16.6662947,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vernonanthura patens,,,3.070906767,3.6,1.4,5.75,3.65,2.2,0.276012965,1.59755816,1.873571125,0.462379079,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vernonanthura patens,,,1.319468892,3,1,3.1,1.45,2,0.06967521,0.302897993,0.372573203,0.068357266,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vernonanthura patens,,,4.02909251,2.8,1.8,4.05,2.35,1,0.117343649,0.629686749,0.747030398,0.238486764,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Thevetia ahouai,,,11.43539706,6.9,4,10.2,8,2.9,0.401283907,10.38067444,10.78195834,2.967432617,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Thevetia ahouai,,,0.117809723,1.9,1.1,1.75,0.9,0.8,0.01334124,0.066915665,0.080256905,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,17.71858226,8.3,4.2,10.3,9.2,4.1,2.09815492,27.88967214,29.98782706,12.48048134,FW
