status,spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
3,MonserudMarshall-PSME,MonserudMarshall,PSME,87,37.85,187.94578,135.58328,28.06999906,8.2,3.4352632,15.3220288,146.0671807,53.86594,NA,74.01779229,54.47682423,50.66785381,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,9.268509843,0.112517908,0.018794578,0.013558328
2,MonserudMarshall-PSME,MonserudMarshall,PSME,82,22.61,97.51504,66.30331,23.42999913,9.72,2.9019512,7.596436,76.34514972,22.22474,NA,72.07700022,51.41243478,42.85930232,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,6.614089864,0.040150504,0.009751504,0.006630331
3,MonserudMarshall-PSME,MonserudMarshall,PSME,83,39.37,238.43903,216.21226,32.44999809,17.25,5.0146666,34.1957392,350.5038447,119.38869,NA,220.6837651,157.056785,227.1286137,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,19.75031424,0.121736472,0.023843903,0.021621226
3,MonserudMarshall-PSME,MonserudMarshall,PSME,91,39.88,292.59223,173.29025,30.10000028,11.73,4.6004652,35.9217758,337.4538502,95.58503,NA,140.8536526,103.0024228,129.9870639,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,16.62238669,0.124910855,0.029259223,0.017329025
2,MonserudMarshall-PSME,MonserudMarshall,PSME,75,26.16,190.21558,114.12621,25.84999877,13.01,3.5622728,10.0072977,107.1476976,45.33095,NA,117.8357296,83.44442524,86.44308715,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,9.966535798,0.053748378,0.019021558,0.011412621
3,MonserudMarshall-PSME,MonserudMarshall,PSME,83,43.69,442.56401,235.09912,31.82999998,14.27,4.1835556,35.3332833,347.0273288,96.32311,NA,152.3799021,108.5237876,130.7716748,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,13.74614662,0.149918066,0.044256401,0.023509912
3,MonserudMarshall-PSME,MonserudMarshall,PSME,108,69.85,799.42537,609.94807,31.35000017,19.32,6.28,88.5053281,830.7556838,543.97314,NA,311.7897396,224.0596379,398.9560284,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,30.97484693,0.383197531,0.079942537,0.060994807
3,MonserudMarshall-PSME,MonserudMarshall,PSME,85,44.45,384.43473,244.42376,32.61000019,16.03,4.4486792,43.5497098,418.9495269,110.12476,NA,181.4488849,128.6340407,166.1094435,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,15.54361605,0.155179165,0.038443473,0.024442376
3,MonserudMarshall-PSME,MonserudMarshall,PSME,123,87.88,1239.20907,1292.08993,39.81000031,32.49,7.9351852,241.4224884,2198.489707,1218.17118,NA,651.8659382,457.436281,1071.180032,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,49.45429508,0.606554708,0.123920907,0.129208993
3,MonserudMarshall-PSME,MonserudMarshall,PSME,87,56.64,864.29141,521.02529,31.69999766,20.3,5.218077,75.0685839,760.4269337,260.48752,NA,268.4622981,189.1433829,289.4113953,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,21.38507847,0.251962768,0.086429141,0.052102529
3,MonserudMarshall-PSME,MonserudMarshall,PSME,91,54.61,590.73723,398.42463,30.17999806,17.53,5.4995918,57.5473682,557.7977059,281.12312,NA,247.1392985,177.0436473,277.6140551,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,23.75476798,0.234225532,0.059073723,0.039842463
3,MonserudMarshall-PSME,MonserudMarshall,PSME,16,5.33,15.07179,22.16394,4.949999782,4.63,1.5538462,1.0379544,11.54672946,2.67065,NA,18.53095791,13.35508417,5.853231126,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,1.896295181,0.00223123,0.001507179,0.002216394
3,MonserudMarshall-PSME,MonserudMarshall,PSME,14,6.1,23.42057,34.78528,5.26000011,5.03,1.9138462,1.6753622,18.07648794,3.57145,NA,25.05586136,18.26947292,9.64674227,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,2.876762108,0.002922467,0.002342057,0.003478528
3,MonserudMarshall-PSME,MonserudMarshall,PSME,14,7.37,31.44734,39.60763,5.580000195,5.24,1.6466666,2.5163379,27.37678538,4.58916,NA,22.12153412,15.8495711,7.439457422,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,2.129615674,0.004266039,0.003144734,0.003960763
3,MonserudMarshall-PSME,MonserudMarshall,PSME,15,8.33,41.6261,44.3907,6.470000131,6.13,2.442353,5.8500863,60.40593986,8.63615,NA,39.13832274,28.66445458,19.14590787,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,4.684969298,0.005449791,0.00416261,0.00443907
3,MonserudMarshall-PSME,MonserudMarshall,PSME,19,13.51,99.05442,154.1717,8.910000365,8.53,3.9355556,15.5870973,156.3630226,34.93701,NA,89.18918541,66.28174997,69.17668686,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,12.16471633,0.014335095,0.009905442,0.01541717
3,MonserudMarshall-PSME,MonserudMarshall,PSME,85,51.31,384.71158,233.84445,33.30000015,17.92,5.4044898,39.0431407,382.7972341,165.05529,NA,247.6323676,176.7894296,274.0602381,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,22.94031011,0.206773039,0.038471158,0.023384445
2,MonserudMarshall-PSME,MonserudMarshall,PSME,96,22.35,102.4061,73.55254,19.38999953,9.85,3.3537778,7.2418144,75.63807076,35.64921,NA,85.18341084,61.47141691,58.01007461,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,8.834021515,0.039232405,0.01024061,0.007355254
