Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
W1989,-98.97767,55.90487,1989,1999,Wet,BS,8,71,0.78,0.7,,42.1,17.09,6.35,25.01,16.36,8.65,4.64,1.71,0,10.74,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,9,53.5,0.62,0.52,,25.74,9.27,4.08,16.47,10.71,5.76,2.96,1.12,0,5.19,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,10,59,0.65,0.6,,34.01,11.95,4.98,22.06,15.38,6.68,3.8,1.18,0,6.97,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,1,7.1,0.14,,,0.25,0.08,0.04,0.17,0.03,0.13,0,0.04,0,0.04,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,2,7.5,0.13,,,0.3,0.07,0.04,0.23,0.1,0.13,0.01,0.03,0,0.04,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,3,11.9,0.25,0.18,,0.71,0.22,0.15,0.49,0.21,0.28,0.06,0.09,0,0.08,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,4,10.3,0.23,0.16,,0.43,0.18,0.12,0.25,0.1,0.16,0.07,0.05,0,0.06,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,5,12.2,0.16,0.14,,0.34,0.11,0.05,0.23,0.08,0.15,0,0.05,0,0.06,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,6,14.1,0.18,0.19,,0.67,0.24,0.1,0.43,0.2,0.23,0.03,0.07,0,0.14,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,7,13.2,0.15,0.14,,0.51,0.18,0.1,0.34,0.12,0.21,0.02,0.08,0,0.08,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,8,16.9,0.25,0.17,,1.3,0.45,0.22,0.85,0.3,0.55,0.07,0.16,0,0.23,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,9,17.7,0.19,0.18,,1.26,0.4,0.18,0.87,0.39,0.48,0.06,0.12,0,0.21,,
W1995,-99.97617,56.46217,1995,1999,Wet,BS,10,13.2,0.16,0.08,,0.9,0.27,0.13,0.63,0.29,0.34,0.04,0.1,0,0.14,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,1,233,2.05,1.77,1.01,279.7,193.5,44.3,86.2,73.3,12.9,39.1,5.2,0,149.2,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,2,152,1.61,1.21,0.25,130.6,78.4,16.9,52.2,43.5,8.7,14.8,2.1,3.9,57.6,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,3,258,2.6,2.36,1.54,467.1,328.7,55.8,138.4,124.7,13.7,50.5,5.3,6.9,266,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,4,291,2.95,2.43,2,624.15,447.55,85,176.6,134.8,41.8,73.9,11.1,27.7,334.85,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,5,366,5.1,4.55,3.68,2260.65,1707.15,570.6,553.5,418.9,134.6,525.3,45.3,0,1136.55,,
D1981,-98.4826,55.86407,1981,1999,Dry,JP,6,417,6.03,5.38,4.2,3256.13,2288.63,519.9,967.5,767.9,199.6,476,43.9,88.9,1679.83,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,1,26.9,0.37,0.3,,2.64,0.79,0.34,1.85,0.9,0.95,0.07,0.27,0,0.45,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,2,14,0.32,0.19,,1.94,0.64,0.38,1.3,0.7,0.6,0.29,0.09,0,0.26,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,3,14.5,0.34,0.26,,2.27,0.6,0.32,1.68,0.83,0.84,0.09,0.23,0,0.27,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,4,31.5,0.78,0.55,,12.16,3.21,2.08,8.95,3.54,5.41,0.37,1.71,0,1.13,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,5,43.5,0.8,0.5,,18.12,6.72,3.96,11.4,4.04,7.36,1.18,2.78,0,2.76,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,6,28.7,0.5,0.37,,5.68,1.78,0.98,3.9,1.48,2.42,0.09,0.89,0,0.8,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,7,19.5,0.39,0.31,,2.99,0.85,0.47,2.14,0.8,1.34,0.08,0.39,0,0.38,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,8,19.1,0.47,0.29,,4.68,1.48,0.95,3.19,0.43,2.76,0.15,0.79,0,0.54,,
D1995,-99.97442,56.46049,1995,1999,Dry,JP,9,14.5,0.41,0.21,,2.84,0.64,0.25,2.2,0.73,1.48,0,0.25,0,0.39,,
