Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
86.2,Betula pubescens,Betulaceae,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.3,Betula pubescens,Betulaceae,4,A,1999,1.2,0.0116,4.5,0.0413,8,0.0126,0.12,0.037,0.0229,6.45,0.0345,0.0539,0.0884,0.3552,0.6402,72.9566,0.2591,0.3903,0.6097,0.3051,0.0133,0.0301,-1.053504723,-2.425784271,,42.86,2.06,20.82,,,0.000412119,25.91231526,13.12087241,14.2519821,46.71483023,100
88.1,Betula pubescens,Betulaceae,4,A,1999,5,0.0495,2.3,0.0853,10,0.0845,0.13,0.401,0.1591,50.85,0.2086,0.1698,0.3784,0.3129,1.2284,134.3871,0.4204,0.5513,0.4487,0.9906,0.0133,0.0531,-0.422066496,-0.971844022,5.45,44.43,3.13,14.18,,0.545,0.000395464,42.04310269,13.0819262,22.33177302,22.54319809,100
88.2,Betula pubescens,Betulaceae,4,A,1999,3.2,0.0076,0.8,0,4.3,0.0091,0.07,0.016,0.0078,4.89,0.0154,0.0091,0.0245,0.1596,1.6926,199.5733,0.3184,0.6286,0.3714,,0.0133,0.0097,-1.610793509,-3.708989122,5.45,44.43,3.13,14.18,,0.545,4.86E-05,31.84307626,31.01752218,37.13940156,,100
82.1,Betula pubescens,Betulaceae,4,A,1999,5.1,0.0197,1.3,0.0074,10,0.0204,0.1,0.081,0.0321,18.22,0.0518,0.0278,0.0796,0.1759,1.8617,229.0249,0.4029,0.6506,0.3494,2.7568,0.0133,0.0284,-1.099334395,-2.531310991,4.57,43.6,3.49,12.48,,0.457,0.000123968,40.29262133,24.76284968,25.64274789,9.301781098,100
90.1,Betula pubescens,Betulaceae,4,A,2000,3,0.0097,0.2,0,6.2,0.0177,0.082,,0.0101,2.3289,0.0198,0.0177,0.0375,0.4337,1.1186,62.104,0.2693,0.528,0.472,,0.0371,0.0002,-1.425968732,-3.283414346,,,2.578,,,,2.74E-06,26.93333333,25.86666667,47.2,,100
92.1,Betula pubescens,Betulaceae,4,A,2000,4.7,0.0127,3,0,5,0.0278,0.086,,0.0281,5.6511,0.0408,0.0278,0.0686,0.4978,1.4687,82.3424,0.4099,0.5949,0.4051,,0.0371,0.0098,-1.163490284,-2.679035384,,,2.236,,0.478,0.478,0.000118572,40.98732421,18.50520945,40.50746635,,100
92.2,Betula pubescens,Betulaceae,4,A,2000,3.2,0.0126,1.1,0,7,0.0154,0.089,,0.0136,3.9663,0.0262,0.0154,0.0416,0.3441,1.7043,95.2363,0.3277,0.6302,0.3698,,0.0371,0.0018,-1.380416796,-3.178527136,,,2.236,,0.478,0.478,1.93E-05,32.76818633,30.25431615,36.97749752,,100
92.3,Betula pubescens,Betulaceae,4,A,2000,3.2,0.0122,1,0,6.5,0.0215,0.086,,0.0333,12.8052,0.0455,0.0215,0.067,0.2601,2.1163,191.1207,0.497,0.6791,0.3209,,0.0371,0.0094,-1.173921271,-2.70305362,,,2.236,,0.478,0.478,4.91E-05,49.70194724,18.20879061,32.08926215,,100
83.1,Betula pubescens,Betulaceae,4,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
